facility_name,permit_id,lat,lon,latlong_type,facility_type,program
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8649,-155.1014,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8678,-155.1004,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.869,-155.1056,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8722,-155.1065,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8749,-155.1086,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8763,-155.1104,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8755,-155.1118,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8756,-155.1117,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8773,-155.1099,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8793,-155.1106,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8783,-155.1151,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8807,-155.1142,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8228,-155.1192,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8829,-155.1191,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8829,-155.1192,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.883,-155.11929,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8856,-155.1197,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8922,-155.1236,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8928,-155.1217,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8922,-155.1237,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8928,-155.1234,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8939,-155.1228,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.898,-155.1241,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8995,-155.1297,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8663,-155.1025,Permitted Feature,State Government,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU,HIF010615,19.8773,-155.1099,Facility,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.976389,-159.374722,Permitted Feature,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.975556,-159.371667,Permitted Feature,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.975556,-159.371944,Permitted Feature,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.975833,-159.373611,Permitted Feature,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.641667,-159.383333,Permitted Feature,State Government,NPDES
"PHASE 1 - KAUMUALII HIGHWAY IMPROVEMENTS, LIHUE MILL BRIDGE TO RICE STREET",HIF010627,21.976389,-159.374722,Facility,State Government,NPDES
WAIHEE STREAM EMERGENCY REPAIRS (1),HIF010630,21.455,-157.845,Permitted Feature,Privately Owned Facility,NPDES
WAIHEE STREAM EMERGENCY REPAIRS (1),HIF010630,21.455,-157.845,Facility,Privately Owned Facility,NPDES
KAALA VIEW FARM LOTS SUBDIVISION,HIF010643,21.547857,-158.089583,Facility,Privately Owned Facility,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 11C",HIF010644,21.291164,-157.696026,Facility,Municipality,NPDES
KEALAKEHE HIGH SCHOOL SOFTBALL FIELD IMPROVEMENTS,HIF010647,21.313601,-157.805695,Permitted Feature,State Government,NPDES
"MENEHUNE ROAD ROCKFALL MITIGATION NEAR SWINGING BRIDGE, PHASE 1",HIF010649,21.968477,-159.660762,Facility,State Government,NPDES
CONSOLIDATION / RE-SUBDIVISION KEOKEA-WAIOHULI DEVELOPMENT PHASE 1A,HIF010650,20.721344,-156.356163,Facility,State Government,NPDES
FY14 QUTM REPAIR VARIOUS WATER LINES,HIF010651,21.3436,-157.8851,Permitted Feature,Federal Facility (U.S. Government),NPDES
FY14 QUTM REPAIR VARIOUS WATER LINES,HIF010651,21.3425,-157.8849,Permitted Feature,Federal Facility (U.S. Government),NPDES
FY14 QUTM REPAIR VARIOUS WATER LINES,HIF010651,21.3419,-157.8864,Permitted Feature,Federal Facility (U.S. Government),NPDES
POHAKULOA TRAINING AREA,HIF010655,19.759055,-155.597467,Facility,Federal Facility (U.S. Government),NPDES
WORLDWIDE FLIGHT SERVICES,HIF010659,21.329814,-157.929822,Facility,Privately Owned Facility,NPDES
"BWS WOODLAWN WATER SYSTEM IMPROVEMENTS, PART II",HIF010660,21.314635,-157.80574,Permitted Feature,Municipality,NPDES
"BWS WOODLAWN WATER SYSTEM IMPROVEMENTS, PART II",HIF010660,21.314635,-157.80574,Facility,Municipality,NPDES
NALU OLA RANCH WEST,HIF010661,20.9432,-156.3263,Facility,Privately Owned Facility,NPDES
"COMMUNITY CENTER, WATERFRONT AT IROQUOIS POINT",HIF010663,21.321106,-157.979303,Facility,Privately Owned Facility,NPDES
MAUI VETERANS CEMETERY EXPANSION AND IMPROVEMENTS,HIF010664,20.864444,-156.315278,Facility,State Government,NPDES
"HONOLULU RAIL TRANSIT PROJECT, AIRPORT SECTION, GUIDEWAYS 7-PIERS",HIF010665,21.3336,-157.9136,Facility,Municipality,NPDES
ASIG USPS FACILITY,HIF010673,21.318992,-157.9107,Permitted Feature,Privately Owned Facility,NPDES
ASIG USPS FACILITY,HIF010673,21.318992,-157.9107,Facility,Privately Owned Facility,NPDES
"SITE IMPROVEMENT PROJECTS, WATERFRONT AT IROQUOIS POINT",HIF010674,21.32159,-157.979369,Facility,Privately Owned Facility,NPDES
"GRADING PLAN FOR 53-0 KAMEHAMEHA HIGHWAY, UNIT 5A & 5B",HIF010678,21.590513,-157.897646,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.206935,-159.485264,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.20872,-159.48358,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.209239,-159.481348,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.21054,-159.475372,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.203617,-159.472389,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.203496,-159.471527,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,22.202645,-159.469263,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.945269,-159.382759,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.945253,-159.384709,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.945014,-159.385707,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.944775,-159.386587,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.944234,-159.387855,Permitted Feature,Privately Owned Facility,NPDES
REFUGE LANDS,HIF010681,21.943939,-159.389784,Permitted Feature,Privately Owned Facility,NPDES
KOMOHANA STREET RECONSTRUCTION (WAIANUENUE AVENUE TO KUKUAU STREET),HIF010682,19.71358,-155.09244,Facility,Municipal or Water District,NPDES
KAHIKU AT MEHANA - PARCEL 6,HIF010685,21.295311,-158.086414,Facility,Privately Owned Facility,NPDES
NAWILIWILI ROAD IMPROVEMENTS,HIF010686,21.972957,-159.371345,Permitted Feature,State Government,NPDES
NAWILIWILI ROAD IMPROVEMENTS,HIF010686,21.968778,-159.365358,Permitted Feature,State Government,NPDES
NAWILIWILI ROAD IMPROVEMENTS,HIF010686,21.954519,-159.370401,Permitted Feature,State Government,NPDES
NAWILIWILI ROAD IMPROVEMENTS,HIF010686,21.975576,-159.383141,Permitted Feature,State Government,NPDES
NAWILIWILI ROAD IMPROVEMENTS,HIF010686,21.972957,-159.371345,Facility,State Government,NPDES
HILO ADULT DAY CENTER,HIF010689,19.704635,-155.093457,Permitted Feature,Privately Owned Facility,NPDES
HILO ADULT DAY CENTER,HIF010689,19.703645,-155.091449,Permitted Feature,Privately Owned Facility,NPDES
HILO ADULT DAY CENTER,HIF010689,19.704635,-155.093457,Facility,Privately Owned Facility,NPDES
WAIMANO RIDGE BUILDING & SITE IMPROVEMENTS,HIF010690,21.42176,-157.94006,Permitted Feature,State Government,NPDES
WAIMANO RIDGE BUILDING & SITE IMPROVEMENTS,HIF010690,21.42276,-157.941056,Permitted Feature,State Government,NPDES
"PIPELINE REPLACEMENT ALONG WEKE, ANAE, MAHIMAHI AND HEE ROADS, JOB NO. 12-01, WA",HIF010692,22.203386,-159.500228,Facility,Municipal or Water District,NPDES
PUNAHOU GRADES 2-5 REDEVELOPMENT PHASE 1A,HIF010693,21.288299,-157.826917,Permitted Feature,Privately Owned Facility,NPDES
PUNAHOU GRADES 2-5 REDEVELOPMENT PHASE 1A,HIF010693,21.288299,-157.826917,Facility,Privately Owned Facility,NPDES
KAPIOLANI BOULEVARD: 12-INCH WATER MAIN,HIF010698,21.2873,-157.8311,Permitted Feature,Municipality,NPDES
KAPIOLANI BOULEVARD: 12-INCH WATER MAIN,HIF010698,21.2864,-157.83,Permitted Feature,Municipality,NPDES
KAPIOLANI BOULEVARD: 12-INCH WATER MAIN,HIF010698,21.2849,-157.8283,Permitted Feature,Municipality,NPDES
KAPIOLANI BOULEVARD: 12-INCH WATER MAIN,HIF010698,21.284,-157.8272,Permitted Feature,Municipality,NPDES
KAPIOLANI BOULEVARD: 12-INCH WATER MAIN,HIF010698,21.284,-157.8272,Facility,Municipality,NPDES
WILHELMINA RISE 811' RESERVIOR REPLACEMENT,HIF010700,21.2667,-157.7786,Permitted Feature,Municipality,NPDES
PENSACOLA STREET WATER SYSTEM IMPROVEMENTS,HIF010705,21.292762,-157.855219,Permitted Feature,Municipality,NPDES
PENSACOLA STREET WATER SYSTEM IMPROVEMENTS,HIF010705,21.292762,-157.855219,Facility,Municipality,NPDES
PENSACOLA STREET WATER SYSTEM IMPROVEMENTS (1),HIF010706,21.292762,-157.855219,Permitted Feature,Municipality,NPDES
PENSACOLA STREET WATER SYSTEM IMPROVEMENTS (1),HIF010706,21.292762,-157.855219,Facility,Municipality,NPDES
KULAIKI SUBDIVISION,HIF010707,20.80326,-156.324335,Facility,Privately Owned Facility,NPDES
HI A-AD 6(8) TRUCK ESCAPE RAMP DANIEL K. INOUYE HIGHWAY,HIF010708,19.859143,-155.759058,Facility,Federal Facility (U.S. Government),NPDES
HILO MUNICIPAL GOLF COURSE,HIF010711,19.67702,-155.074091,Permitted Feature,Municipal or Water District,NPDES
HILO MUNICIPAL GOLF COURSE,HIF010711,19.67702,-155.074091,Facility,Municipal or Water District,NPDES
ARFF FACILITY IMPROVEMENTS AT HILO INTERNATIONAL AIRPORT,HIF010713,19.72371,-155.062217,Permitted Feature,State Government,NPDES
ARFF FACILITY IMPROVEMENTS AT HILO INTERNATIONAL AIRPORT,HIF010713,19.72371,-155.062217,Facility,State Government,NPDES
QUALITY GENERAL BASEYARD,HIF010716,21.379065,-157.907121,Permitted Feature,Privately Owned Facility,NPDES
CS WO FURNITURE GALLERY AT KAPOLEI,HIF010718,21.295669,-158.086343,Permitted Feature,Privately Owned Facility,NPDES
KALAELOA,HIF010722,21.18,-158.03,Permitted Feature,Federal Facility (U.S. Government),NPDES
KIHEI BIKEWAY PHASE II (LIPOA STREET TO HALEKUAI STREET),HIF010727,20.746388,-156.449089,Facility,Municipal or Water District,NPDES
MAMALAHOA HIGHWAY IMPROVEMENTS (KAMAMALU STREET TO IONA COURT),HIF010730,20.025472,-155.658738,Facility,Municipal or Water District,NPDES
WEST MAUI VILLAGE OFF-SITE ROADWAY IMPROVEMENTS,HIF010733,20.988463,-156.669673,Permitted Feature,Privately Owned Facility,NPDES
WEST MAUI VILLAGE OFF-SITE ROADWAY IMPROVEMENTS,HIF010733,20.985155,-156.672279,Permitted Feature,Privately Owned Facility,NPDES
WEST MAUI VILLAGE OFF-SITE ROADWAY IMPROVEMENTS,HIF010733,20.988463,-156.669673,Facility,Privately Owned Facility,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 12A",HIF010739,21.335881,-157.877509,Permitted Feature,Municipality,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 12A",HIF010739,21.346455,-157.868733,Permitted Feature,Municipality,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 12A",HIF010739,21.344239,-157.866877,Permitted Feature,Municipality,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 12A",HIF010739,21.335881,-157.877509,Facility,Municipality,NPDES
"COMBAT AVIATION BRIGADE, PHASE 2",HIF010741,21.475,-158.03028,Facility,Federal Facility (U.S. Government),NPDES
"CENTRAL OAHU BEST MANAGEMENT PRACTICES, ERODED SLOPE REPAIRS, PHASE 1",HIF010746,21.425027,-157.995129,Facility,State Government,NPDES
EWA BY GENTRY WEST AREA 16 STOCKPILE,HIF010748,21.322794,-158.031608,Facility,Privately Owned Facility,NPDES
THE HILL HOUSE,HIF010752,20.686161,-156.370918,Facility,Privately Owned Facility,NPDES
HILO BAYFRONT TRAIL PHASE 1,HIF010753,19.723663,-155.079443,Permitted Feature,Municipal or Water District,NPDES
WAIMEA DISTRICT PARK,HIF010757,19.985103,-155.691173,Permitted Feature,Municipal or Water District,NPDES
CENTRAL YMCA FACILITY & CONDOMINIUM TOWER,HIF010761,21.288232,-157.841331,Permitted Feature,Privately Owned Facility,NPDES
"KEAAU MIDDLE SCHOOL BUILDINGS B, D, E, & G DEMOLITION",HIF010762,19.631261,-155.022578,Facility,State Government,NPDES
MASS GRADING FOR MAUI BUSINESS PARK HO'OKELE CONDOMINIUM PHASE 1B LOT 2-C-4-C-1-,HIF010765,20.876648,-156.452876,Facility,Privately Owned Facility,NPDES
PANAEWA DRAG STRIP & SKEET RANGE,HIF010769,19.674774,-155.023045,Permitted Feature,Municipal or Water District,NPDES
PANAEWA DRAG STRIP & SKEET RANGE,HIF010769,19.703261,-155.032272,Permitted Feature,Municipal or Water District,NPDES
WAIMEA DISTRICT PARK (1),HIF010772,19.98474,-155.691323,Permitted Feature,Municipal or Water District,NPDES
WAIMEA DISTRICT PARK (1),HIF010772,19.98474,-155.691323,Facility,Municipal or Water District,NPDES
TURTLE BAY RESORTS EAST MAIN DRAINAGE CHANNEL MAINTENANCE DREDGING,HIF010774,21.702758,-157.990847,Permitted Feature,Privately Owned Facility,NPDES
MUNICIPAL SEPARATE STORM SEWER SYSTEM (MS4) (1),HIF010783,20.898329,-156.480371,Facility,State Government,NPDES
MASS TRANSIT AGENCY BASEYARD AND MAINTENANCE FACILITY,HIF010784,19.732296,-155.020196,Facility,Municipal or Water District,NPDES
REPAIR STORM WATER SYSTEM VICINITY NEHELANI BLDG 2060 SCHOFIELD BARRACKS HI,HIF010785,21.481478,-158.054521,Permitted Feature,Federal Facility (U.S. Government),NPDES
REPAIR STORM WATER SYSTEM VICINITY NEHELANI BLDG 2060 SCHOFIELD BARRACKS HI,HIF010785,21.481478,-158.054521,Facility,Federal Facility (U.S. Government),NPDES
DANIEL K. INOUYE COLLEGE OF PHARMACY,HIF010786,19.700574,-155.083541,Facility,State Government,NPDES
FOUR SEASONS RESORT LANAI AT MANELE BAY  TEMPORARY PREFABRICATED BRIDGE,HIF010787,20.741047,-156.895081,Permitted Feature,Privately Owned Facility,NPDES
HBDC KEAAU PROPERTY GRADING,HIF010788,19.63944,-155.0272,Permitted Feature,Privately Owned Facility,NPDES
HBDC KEAAU PROPERTY GRADING,HIF010788,19.63944,-155.0272,Facility,Privately Owned Facility,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 13C",HIF010789,21.648494,-157.922014,Permitted Feature,Municipality,NPDES
"REHABILITATION OF LOCALIZED STREETS, PHASE 13C",HIF010789,21.648525,-157.921569,Permitted Feature,Municipality,NPDES
WAIPAHU INTERMEDIATE SCHOOL DREAMS BUILDING,HIF010790,21.379004,-158.010812,Permitted Feature,State Government,NPDES
WAIPAHU INTERMEDIATE SCHOOL DREAMS BUILDING,HIF010790,21.377645,-158.014025,Permitted Feature,State Government,NPDES
"CENTRAL OAHU BEST MANAGEMENT PRACTICES, ERODED SLOPE REPAIRS, PHASE 2",HIF010792,21.424779,-157.993871,Facility,State Government,NPDES
HAWAII INDEPENDENT ENERGY REFINERY (1),HIF010797,21.303243,-158.087256,Permitted Feature,Privately Owned Facility,NPDES
HAWAII INDEPENDENT ENERGY REFINERY (1),HIF010797,21.303249,-158.087114,Permitted Feature,Privately Owned Facility,NPDES
HAWAII INDEPENDENT ENERGY REFINERY (1),HIF010797,21.300453,-158.093068,Permitted Feature,Privately Owned Facility,NPDES
HAWAII INDEPENDENT ENERGY REFINERY (1),HIF010797,21.29554,-158.092291,Permitted Feature,Privately Owned Facility,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.5069,-158.0171,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.5065,-158.0156,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.5102,-158.0125,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.5104,-158.0122,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.4938,-158.0209,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.3795,-157.9262,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.381,-157.924,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.3853,-157.9255,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.3862,-157.9239,Permitted Feature,Municipality,NPDES
"FIRE HYDRANT INSTALLATIONS AT VARIOUS LOCATIONS, PART A",HIF010798,21.5069,-158.0171,Facility,Municipality,NPDES
TAM YAU ESTATES,HIF010800,20.841344,-156.335705,Facility,Privately Owned Facility,NPDES
"KAMEHAMEHA HIGHWAY: 16-INCH WATER MAIN, PART I",HIF010801,21.672626,-158.041618,Facility,Municipality,NPDES
"KAMEHAMEHA HIGHWAY: 16-INCH WATER MAIN, PART I (1)",HIF010802,21.672626,-158.041618,Permitted Feature,Municipality,NPDES
"KAMEHAMEHA HIGHWAY: 16-INCH WATER MAIN, PART I (1)",HIF010802,21.679912,-158.034006,Permitted Feature,Municipality,NPDES
HAWAII BELT ROAD RESURFACING PEPEEKEO TO HAKALAU (1),HIF010803,19.8614,-155.09811,Permitted Feature,State Government,NPDES
EWA VILLAGES AREA H MULTI-FAMILY SUBDIVISION - PHASE 3 (SUBDIVISION FILE NO. 201,HIF010804,21.336,-158.04,Facility,Privately Owned Facility,NPDES
FRIENDSHIP CHRISTIAN SCHOOLS,HIF010807,21.308203,-158.040991,Permitted Feature,Privately Owned Facility,NPDES
KNMD119002/9003 ECIP SOLAR PHOTOVOLTAIC (PV) ARRAYS PHASE I & II,HIF010809,21.335419,-157.893646,Permitted Feature,Federal Facility (U.S. Government),NPDES
FARRINGTON HIGHWAY REPLACEMENT OF MAIPALAOA BRIDGE (1),HIF010810,21.409444,-158.177222,Permitted Feature,State Government,NPDES
FARRINGTON HIGHWAY REPLACEMENT OF MAIPALAOA BRIDGE (1),HIF010810,21.408928,-158.177244,Permitted Feature,State Government,NPDES
FARRINGTON HIGHWAY REPLACEMENT OF MAIPALAOA BRIDGE (1),HIF010810,21.409444,-158.177222,Facility,State Government,NPDES
"SUNE WAIAWA SOLAR, LLC",HIF010812,21.399853,-157.985293,Permitted Feature,Privately Owned Facility,NPDES
"SUNE WAIAWA SOLAR, LLC",HIF010812,21.399853,-157.985293,Facility,Privately Owned Facility,NPDES
WETLAND AREA NEAR MOUTH OF WAIMANALO STREAM TO THE WEST TINKER ROAD,HIF010813,21.3638,-157.7129,Permitted Feature,Federal Facility (U.S. Government),NPDES
TAMURA'S PLAZA,HIF010814,20.7458,-156.4577,Permitted Feature,Privately Owned Facility,NPDES
"LILIHA STREET REHABILITATION, NORTH KING STREET TO SCHOOL STREET - STAGING AREA",HIF010816,21.315,-157.8614,Permitted Feature,State Government,NPDES
"LILIHA STREET REHABILITATION, NORTH KING STREET TO SCHOOL STREET - STAGING AREA",HIF010816,21.315,-157.8614,Facility,State Government,NPDES
POHAKALA AT MEHANA (PARCEL 8),HIF010819,21.295833,-158.086389,Facility,Privately Owned Facility,NPDES
KUIKAHI DRIVE PAVEMENT REHABILITATION (KUALAU STREET TO HONOAPIILANI HIGHWAY),HIF010820,20.851651,-156.496995,Permitted Feature,Municipal or Water District,NPDES
KUIKAHI DRIVE PAVEMENT REHABILITATION (KUALAU STREET TO HONOAPIILANI HIGHWAY),HIF010820,20.867108,-156.514223,Facility,Municipal or Water District,NPDES
WAIMANALO ELEMENTARY AND INTERMEDIATE SCHOOL IRRIGATION SYSTEM PROJECT,HIF010822,21.2041,-157.43,Permitted Feature,State Government,NPDES
WAIMANALO ELEMENTARY AND INTERMEDIATE SCHOOL IRRIGATION SYSTEM PROJECT,HIF010822,21.204,-157.4256,Permitted Feature,State Government,NPDES
THE NEW KAPALAMA CONTAINER TERMINAL WHARF AND DREDGING,HIF010824,21.315137,-157.888187,Permitted Feature,State Government,NPDES
THE NEW KAPALAMA CONTAINER TERMINAL WHARF AND DREDGING,HIF010824,21.319899,-157.882026,Permitted Feature,State Government,NPDES
THE NEW KAPALAMA CONTAINER TERMINAL WHARF AND DREDGING,HIF010824,21.320029,-157.882552,Permitted Feature,State Government,NPDES
THE NEW KAPALAMA CONTAINER TERMINAL WHARF AND DREDGING,HIF010824,21.313663,-157.887415,Permitted Feature,State Government,NPDES
THE NEW KAPALAMA CONTAINER TERMINAL WHARF AND DREDGING,HIF010824,21.313732,-157.887165,Permitted Feature,State Government,NPDES
AIEA KAI PLACE AND WAY: 8-INCH WATER MAINS,HIF010830,21.30571,-157.8539,Facility,Municipality,NPDES
"STORM WATER RENOVATION TRIMBLE AND MALI SCHOFIELD BARRACKS, HI",HIF010834,21.490697,-158.081974,Facility,Federal Facility (U.S. Government),NPDES
HAWAII INDEPENDENT ENERGY SAND ISLAND TERMNINAL,HIF010835,21.314921,-157.888479,Facility,Municipality,NPDES
MAKENA GOLF & BEACH CLUB,HIF010836,20.6464,-156.4431,Permitted Feature,Privately Owned Facility,NPDES
MAKENA GOLF & BEACH CLUB,HIF010836,20.6477,-156.4427,Permitted Feature,Privately Owned Facility,NPDES
MAKENA GOLF & BEACH CLUB,HIF010836,20.6508,-156.4413,Permitted Feature,Privately Owned Facility,NPDES
MAKENA GOLF & BEACH CLUB,HIF010836,20.6477,-156.4427,Facility,Privately Owned Facility,NPDES
EWA BY GENTRY KAMAKANA STREET (INCREMENT 2),HIF010837,21.3225,-158.03167,Facility,Privately Owned Facility,NPDES
EWA BY GENTRY-WEST AREA 17 SUBDIVISION,HIF010838,21.327706,-158.032419,Facility,Privately Owned Facility,NPDES
MAKANI ENERGY KITE PILOT PROJECT,HIF010840,19.938917,-155.67832,Facility,Privately Owned Facility,NPDES
HALE ILIMA,HIF010847,21.492781,-158.034741,Permitted Feature,Privately Owned Facility,NPDES
HALE ILIMA,HIF010847,21.492781,-158.034741,Facility,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.688775,-156.444117,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.688714,-156.444104,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.687525,-156.44475,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.68756,-156.444623,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.6868,-156.444639,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.686784,-156.444565,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.685905,-156.444539,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.68588,-156.444528,Permitted Feature,Privately Owned Facility,NPDES
WAILEA BEACH MARRIOTT,HIF010848,20.685054,-156.443978,Permitted Feature,Privately Owned Facility,NPDES
"EMBASSY SUITES, KAPOLEI",HIF010851,21.300152,-158.060679,Permitted Feature,Privately Owned Facility,NPDES
"EMBASSY SUITES, KAPOLEI",HIF010851,21.300152,-158.060679,Facility,Privately Owned Facility,NPDES
QUEEN KAAHUMANU HIGHWAY AND WAIKOLOA ROAD/WAIKOLOA BEACH DRIVE INTERSECTION IMPR,HIF010853,19.915833,-155.868889,Facility,Privately Owned Facility,NPDES
"VOLCANO SCHOOL OF ARTS AND SCIENCES, KEAKEALANI CAMPUS",HIF010858,19.552815,-155.039241,Permitted Feature,Privately Owned Facility,NPDES
"VOLCANO SCHOOL OF ARTS AND SCIENCES, KEAKEALANI CAMPUS",HIF010858,19.552815,-155.039241,Facility,Privately Owned Facility,NPDES
"AIEA DISTRICT PARK, RECONSTRUCTION OF BASEBALL FIELD IMPROVEMENTS",HIF010859,21.383618,-157.928493,Permitted Feature,Municipality,NPDES
NINOLE VIEW ESTATES PHASE 2,HIF010867,19.935153,-155.162326,Permitted Feature,Privately Owned Facility,NPDES
NINOLE VIEW ESTATES PHASE 2,HIF010867,19.935679,-155.162574,Permitted Feature,Privately Owned Facility,NPDES
