sample_id,dist_to_nearest_cesspool_m
OA504,1048.3
OA51,2666.1
OA52,2520.3
OA521,1401.1
OA522,592.3
OA523,505
OA524,380.3
OA525,636.3
OA527,844.6
OA529,82.3
OA53,134.3
OA531,530.5
OA532,1092.9
OA533,1041.4
OA54,232.5
OA541,39.8
OA55,284.7
OA552,694.1
OA553,1148.7
OA554,2302.3
OA557,479.2
OA56,531.1
OA562,1131.8
OA563,1116.5
OA564,1536.1
OA57,951.2
OA573,1317.2
OA574,638.3
OA575,164.5
OA58,828.9
OA582,681.4
OA583,1075.2
OA584,1240.9
OA585,854.6
OA59,530.9
OA593,618.6
OA594,1297.7
OA595,2635
OA6,384.7
OA60,165.3
OA603,1337.2
OA604,3060.9
OA605,1417.2
OA606,1557.7
OA607,3374.2
OA608,48.9
OA611,745
OA612,1442.6
OA613,1043.8
OA62,185.1
OA64,210
OA65,249.2
OA66,252.6
OA67,1176.6
OA68,563.3
OA69,260.3
OA7,676
OA70,1139.7
OA700,523.1
OA701,651.5
OA702,532.4
OA703,111.4
OA704,52.7
OA705,72.2
OA706,46.8
OA707,62.2
OA708,85.1
OA709,70.8
OA71,961.1
OA710,950.2
OA711,670.4
OA712,41.3
OA713,180.8
OA714,539.9
OA715,1288.3
OA716,1317.7
OA717,613.3
OA718,1074.3
OA719,781.6
OA72,1059.8
OA720,857.2
OA721,490.6
OA722,1059.3
OA723,969.5
OA724,486.4
OA725,105.8
OA726,219.7
OA727,48
OA728,75.3
OA729,45.9
OA73,1212.5
OA730,181.2
OA731,31.3
OA732,90.2
OA733,56.2
OA734,43.9
OA739,1723.2
OA74,365.4
OA744,1016
OA745,55.5
OA746,322.9
OA747,39.5
OA748,1434.6
OA749,21.3
OA75,1333.5
OA750,35.3
OA751,33.6
OA752,111.3
OA753,129.4
OA754,73.4
OA759,558.6
OA76,172.5
OA764,1418.9
OA769,610.9
OA78,1434.4
OA780,25.4
OA781,70.6
OA782,82.4
OA783,51.9
OA784,71.1
OA785,1373.5
OA79,618.5
OA790,1720.4
OA791,1049.6
OA792,518.9
OA793,1177.2
OA794,1791.6
OA796,130.1
OA797,273.2
