site_no,station_nm,mean_cfs_march,n_days,longitude,latitude
16756100,"Kohakohau Stream above intake, nr Kamuela, HI",27.19225806451613,31,-155.6816944,20.045611099999995
16720000,"Kawainui Stream nr Kamuela, HI",29.11193548387097,31,-155.6811667,20.08533333
16725000,"Alakahi Stream near Kamuela, HI",13.380967741935484,31,-155.67075,20.071083329999993
16757000,"Waikoloa Stream nr Kamuela, HI",10.912692307692307,26,-155.66418577,20.051789609999997
16758000,"Waikoloa Str at Marine Dam nr Kamuela, HI",19.53516129032258,31,-155.66397699,20.0436345
16770500,"Paauau Gulch at Pahala, HI",13.60774193548387,31,-155.4770833,19.207777779999997
16701800,"Wailuku River nr Kaumana, HI",6.19258064516129,31,-155.2661139,19.7176861
16717815,"Manowaiopae Stream near Spencer Road, HI",7.0609677419354835,31,-155.2431444,19.972122219999996
16717700,"Hakalau Stream nr alt 1300 ft, HI",2.451764705882353,17,-155.1668167,19.8717
16717000,"Honolii Stream nr Papaikou, HI",101.89032258064516,31,-155.15183330000002,19.764333330000003
16704000,"Wailuku River at Piihonua, HI",176.48387096774192,31,-155.15075,19.71213889
16301050,"Punaluu Str abv Punaluu Ditch Intake, Oahu, HI",59.12258064516129,31,-157.8988889,21.556388889999997
