ahupuaa,moku,island,n_cesspools,area_m2,cesspool_density_per_km2
Alakahi,Hilo,Hawaiʻi,11,4231318.8980521085,2.599662248350948
Kākiʻo,Hāna,Maui,11,5432016.638960442,2.02503061590495
Puumoi,Hilo,Hawaiʻi,11,2958911.05636961,3.7175838646181814
Pāpaʻikou,Hilo,Hawaiʻi,11,57056844.64313616,0.19279019140998505
ʻAlikā,Kona,Hawaiʻi,11,19809644.308491386,0.5552850838056118
East Hanawana,Hāmākualoa,Maui,10,866615.583417803,11.53914168097634
Honokalani,Hāna,Maui,10,1195707.0249939933,8.363252695659487
Honolua,Kāʻanapali,Maui,10,16716782.656440198,0.5982012331869054
Hālawa,ʻEwa,Oʻahu,10,35165398.142223075,0.28437044732313166
Kahana,Koʻolauloa,Oʻahu,10,21583226.474193033,0.46332275723265726
Malanahae,Hāmākua,Hawaiʻi,10,3073101.7636798695,3.2540412810884445
Mokupapa,Hāmākualoa,Maui,10,795958.0354423374,12.563476407952468
"Weha, Mahakuolo",Hāmākua,Hawaiʻi,10,7119998.6131615965,1.4044946555908884
Nāʻiwa,Kona,Molokaʻi,10,24998687.915047824,0.40002099446109546
Kahaliʻi,Hilo,Hawaiʻi,9,553654.3113653644,16.255630662037365
Kamoku,Hāmākua,Hawaiʻi,9,27397239.21465603,0.32850025250666465
Kaueleau,Puna,Hawaiʻi,9,9260339.21419236,0.9718866438722499
Kualoa 1,Koʻolaupoko,Oʻahu,9,1481023.6883865297,6.076877818075187
Mūʻolea,Hāna,Maui,9,3984130.867237687,2.25896194173962
Puakea,Kohala,Hawaiʻi,9,2346242.0736466795,3.8359213233320055
Waipiʻoiki,Hāmākualoa,Maui,9,1015859.3405575305,8.859494263310669
Waipiʻonui,Hāmākualoa,Maui,9,773849.7348978538,11.630164868103208
Haʻikū,Hilo,Hawaiʻi,8,859733.8677545488,9.305205133879841
Hoʻokena,Kona,Hawaiʻi,8,17566990.675872922,0.4553995700007663
Kahilipalinui,Kaʻū,Hawaiʻi,8,10144726.357601978,0.7885870666196115
Kaiaʻakea,Hilo,Hawaiʻi,8,647205.4481444664,12.360835377600646
Kalāhiki,Kona,Hawaiʻi,8,10366722.330799434,0.7717000363974325
Kuilei 1-2,Hāmākua,Hawaiʻi,8,1588107.6250134706,5.037441968035473
Lauhulu,Waialua,Oʻahu,8,12663640.80405873,0.6317298574542622
Makaua 2,Koʻolauloa,Oʻahu,8,194851.5834090626,41.05688986476011
Kamiloloa,Kona,Molokaʻi,8,9350130.734500706,0.8556030099644588
Pālāʻau,Kona,Molokaʻi,8,47742143.0434623,0.16756683906537584
Kaʻakaʻaniu,Koʻolau,Kauaʻi,7,555346.3304251865,12.60474701370698
Kula,Puna,Hawaiʻi,7,13466955.395069534,0.5197908357640222
Laimi,Hilo,Hawaiʻi,7,1458905.41063545,4.79811778678032
Makaʻula,Kona,Hawaiʻi,7,1141987.072335139,6.129666586931126
Opihilala,Hāmākua,Hawaiʻi,7,1790820.6085404754,3.90882256247041
Pūehuehunui,Lāhainā,Maui,7,2259924.0598481186,3.0974492127272826
Ukumehame,Lāhainā,Maui,7,44386971.86205929,0.15770393217527415
Waialua,Kona,Molokaʻi,7,6006027.957137832,1.1654957402722188
Kanaio,Honuaʻula,Maui,6,36377124.07418055,0.1649388222049865
Kapuʻa,Kona,Hawaiʻi,6,62940378.61690423,0.09532831120257272
Kauhiula,Hilo,Hawaiʻi,6,526080.2112735668,11.405104908764457
Kawela,Kaʻū,Hawaiʻi,6,12390619.888640657,0.48423727415773743
Keaʻau,Waiʻanae,Oʻahu,6,7653741.835733452,0.783930282569431
Kou,Kohala,Hawaiʻi,6,2034013.0003621764,2.949833653438616
Kualapa,Honuaʻula,Maui,6,2858785.819749293,2.0987931164868385
Moanalua,Kona,Oʻahu,6,39944356.02238363,0.15020895559407138
Mokuoniki,Hilo,Hawaiʻi,6,1579692.4727830503,3.7982076279881216
Nanue,Hilo,Hawaiʻi,6,2291216.1359489528,2.618696641430111
"Opihipau, Hukiaʻa",Kohala,Hawaiʻi,6,3615881.856057754,1.6593462504722296
Paunau,Lāhainā,Maui,6,8730050.963427318,0.6872812112020557
Puʻuepa,Kohala,Hawaiʻi,6,3715794.846929679,1.6147285431965477
Waimalu,ʻEwa,Oʻahu,6,19585871.847133625,0.30634326859838484
Waipā,Haleleʻa,Kauaʻi,6,6741691.192212848,0.8899844013814284
West Honomāʻele,Hāna,Maui,6,3967605.219004195,1.5122472294524059
ʻUlaʻino,Koʻolau,Maui,6,1435566.4902854115,4.179534727651042
Haleohiu,Kona,Hawaiʻi,5,2864087.304596469,1.7457568391772424
Honuʻapo,Kaʻū,Hawaiʻi,5,8786291.080650836,0.5690683308923143
Iliʻililoa,Puna,Hawaiʻi,5,307699.27556632645,16.249632017486565
Kahuku,Koʻolauloa,Oʻahu,5,17234605.436291978,0.29011398134309413
Kaihuiki,Hilo,Hawaiʻi,5,545719.7786454391,9.162211441943287
Kawainui,Hilo,Hawaiʻi,5,3462984.701852046,1.4438412036085346
Kaʻakepa,Hilo,Hawaiʻi,5,1126837.0227867812,4.437198901784837
Papalele,Hāmākua,Hawaiʻi,5,1223753.8111517504,4.085789114147225
Pāhoa,Lāhainā,Maui,5,844015.5210878262,5.9240616731261655
ʻUpolu,Kohala,Hawaiʻi,5,2497771.4644466485,2.001784419099243
Kaʻamola,Kona,Molokaʻi,5,2738346.535247445,1.8259193771281346
Mapulehu,Kona,Molokaʻi,5,7229266.240017836,0.6916331248560662
Kalauao,ʻEwa,Oʻahu,4,10954107.586185029,0.36515982415990444
Keana,Koʻolauloa,Oʻahu,4,5893131.015200604,0.6787563333790635
Keauhou,Honuaʻula,Maui,4,3747218.987548273,1.0674582972843858
Kīpū Kai,Puna,Kauaʻi,4,4508305.818959323,0.8872512559326204
Kūkaʻiau,Hāmākua,Hawaiʻi,4,24952311.998539597,0.1603057865032351
"Māhukona, Hihiu, K",Kohala,Hawaiʻi,4,6568375.808063608,0.6089785537376585
Mālamalamaiki,Hilo,Hawaiʻi,4,1398617.1450473662,2.8599678004551663
Okoe 1-2,Kona,Hawaiʻi,4,5636161.530676404,0.7097028674974747
Papaʻanui,Honuaʻula,Maui,4,35879628.489966884,0.1114838745088604
Puaiki,Kohala,Hawaiʻi,4,1201457.3420348698,3.3292900713606097
Puaʻa 1,Kona,Hawaiʻi,4,3335921.4969970267,1.19906898396763
Pāpaʻa,Hilo,Hawaiʻi,4,198551.07874745887,20.14594947171091
Umauma,Hilo,Hawaiʻi,4,8806365.911308669,0.454216874507044
Waialeʻe,Koʻolauloa,Oʻahu,4,3112348.460925713,1.2852031352589197
Waikoloa,Hāmākua,Hawaiʻi,4,5722060.75242613,0.6990488519899088
West Hanawana,Hāmākualoa,Maui,4,1182240.0468886802,3.383407634115308
Kainalu,Kona,Molokaʻi,4,4827494.718493313,0.8285871312663853
Kūpeke,Kona,Molokaʻi,4,1285172.4503795207,3.1124227716045203
Honohina,Hilo,Hawaiʻi,3,28080330.385361966,0.1068363498160219
Honokaia,Hāmākua,Hawaiʻi,3,19617801.476878975,0.1529223345202938
"Hōʻea, Manowaikohau",Hāmākua,Hawaiʻi,3,17643371.50942249,0.1700355285495089
Kahikinui,Kahikinui,Maui,3,112035042.44313788,0.02677733622069734
Kalakalaula,Hāmākua,Hawaiʻi,3,592222.3063406872,5.065665321755363
"Kalala 1-2, Kokiʻo",Kohala,Hawaiʻi,3,15127420.532445394,0.19831536999752072
Kanahena,Honuaʻula,Maui,3,5276930.95173743,0.5685122711359809
Kawela,Hāmākua,Hawaiʻi,3,5336522.96986858,0.5621637940919197
"Kehena 1, Kipi",Kohala,Hawaiʻi,3,5683913.327753508,0.5278053740460026
"Kūkiʻo, Maniniʻōwali",Kona,Hawaiʻi,3,11663955.002681367,0.2572026383255375
Lanikepu,Kohala,Hawaiʻi,3,2369161.267930776,1.2662709122457494
Mailepai,Kāʻanapali,Maui,3,3520100.2294321717,0.8522484601195378
Mokae,Hāna,Maui,3,2733070.6607442126,1.0976664610577989
Punaluʻu,Kaʻū,Hawaiʻi,3,22436500.310556684,0.13371069277629088
Waikoko,Haleleʻa,Kauaʻi,3,1851422.8051752131,1.620375417011291
Waikākuʻu,Kona,Hawaiʻi,3,1000885.9630967826,2.997344463417067
Honomuni,Kona,Molokaʻi,3,3136215.6856272165,0.9565668629707225
Kalua‘aha,Kona,Molokaʻi,3,5867419.619791489,0.5112980141867902
Kapa‘akea,Kona,Molokaʻi,3,8826964.214574013,0.3398676971009766
Kapulei,Kona,Molokaʻi,3,8028758.602742083,0.37365676917666973
Aukuʻu,Waialua,Oʻahu,2,3914625.8183510937,0.5109045136892378
Honokōwai,Kāʻanapali,Maui,2,17486556.055426218,0.11437357897465374
Humuʻula,Hilo,Hawaiʻi,2,457767442.394527,0.004369030679722957
Kahuwai,Puna,Hawaiʻi,2,12483364.028169477,0.16021322421479317
Kaiholena,Kohala,Hawaiʻi,2,11297767.668354467,0.17702612221369057
"Kalapana, Kupahua",Puna,Hawaiʻi,2,26611945.36337797,0.07515422013274911
Kamano,Kohala,Hawaiʻi,2,1700469.1007866997,1.1761460405688797
Kapaʻanui,Kohala,Hawaiʻi,2,2758357.237197278,0.7250692452121131
Kapulena,Hāmākua,Hawaiʻi,2,7246194.934963256,0.2760069274909924
Kaʻala,Hāmākua,Hawaiʻi,2,9738596.131473541,0.20536840967624984
Keahuolū,Kona,Hawaiʻi,2,16468370.457976889,0.12144492408058791
Kealiʻiiki,Hāmākualoa,Maui,2,413070.3889963925,4.8417898093815355
Kiʻilae,Kona,Hawaiʻi,2,21619625.866374865,0.09250853887858496
Kiʻiokalani,Kohala,Hawaiʻi,2,2474235.521347314,0.808330485414309
Kuiaha,Hāmākualoa,Maui,2,1268461.6438927483,1.576713028438332
"Makanikahio 1-2, Auau",Kohala,Hawaiʻi,2,1418393.4702071324,1.4100459724394627
Nakula,Kaupō,Maui,2,30350268.714188892,0.06589727487536183
Panaʻewa,Lāhainā,Maui,2,6433490.203928969,0.31087324867279487
Waimea,Koʻolauloa,Oʻahu,2,23254529.70785043,0.08600474940264329
ʻAlaenui,Kīpahulu,Maui,2,33843409.29346024,0.05909570110557602
ʻĀʻāmanu,Hāmākua,Hawaiʻi,2,2217991.7141433414,0.9017166237577507
ʻŌiʻo 2,Koʻolauloa,Oʻahu,2,3016867.7561274767,0.662939234223262
Kahananui,Kona,Molokaʻi,2,1263504.0254369304,1.5828995869707525
Kamalō,Kona,Molokaʻi,2,15881817.607969122,0.12593017054902123
Pūkoʻo 2,Kona,Molokaʻi,2,407158.61748306826,4.912090556656756
Pūniuʻōhua 2,Kona,Molokaʻi,2,445057.645752646,4.493799891063009
East Honomāʻele,Hāna,Maui,1,3564954.5610058187,0.2805084841580307
Hāmoa,Hāna,Maui,1,621915.971585541,1.607934263933686
Hīleaiki,Kaʻū,Hawaiʻi,1,8433667.889503311,0.11857237125078368
"Kaipuhaʻa, Lamaloloa",Kohala,Hawaiʻi,1,16925811.759917356,0.05908136130688498
Kapunapuna,Kohala,Hawaiʻi,1,2002574.042400077,0.49935731654720944
Kau,Kona,Hawaiʻi,1,6260232.831867651,0.15973846769875877
Kaupalaoa,Kohala,Hawaiʻi,1,4048124.4455709457,0.24702797886910327
Kawaihae 2,Kohala,Hawaiʻi,1,42699972.28559074,0.02341921894730254
"Kaʻalāiki, Hiʻonaʻā",Kaʻū,Hawaiʻi,1,65694199.4440568,0.015222044083992069
Kaʻena,Waialua,Oʻahu,1,13272272.881208837,0.07534504518934515
Keālia,Waialua,Oʻahu,1,3394723.601097692,0.2945747923856445
Kuliʻouʻou,Kona,Oʻahu,1,4383608.639021687,0.2281225543490067
Kīkala,Hilo,Hawaiʻi,1,3391221.6198787866,0.2948789881906165
Manoloa,Hilo,Hawaiʻi,1,1500809.0732638482,0.6663072724002622
Mauluanui,Hilo,Hawaiʻi,1,38274912.92124003,0.026126774006194186
Maʻulili,Hilo,Hawaiʻi,1,125491.95421170443,7.968638358384347
Māhāʻulepū,Kona,Kauaʻi,1,11024826.879291784,0.09070437213652087
Mānana,ʻEwa,Oʻahu,1,9779780.337472524,0.10225178536662705
Pololū,Kohala,Hawaiʻi,1,7727815.36334331,0.12940267759805363
Puheʻemiki,Koʻolauloa,Oʻahu,1,76173.19316110946,13.127977947372623
Puʻuhaoa,Hāna,Maui,1,6028485.159315705,0.16587915099280268
Pāpaʻaʻea,Koʻolau,Maui,1,1489770.6389757916,0.6712442666258304
Pāʻā,Kona,Kauaʻi,1,15702382.894568076,0.0636846016757068
Pōhakulua,Kohala,Hawaiʻi,1,1378070.1053701267,0.7256524875644237
"Pōhakulua, Ahulua",Kohala,Hawaiʻi,1,3145374.181707032,0.3179271979199906
Ulupehupehu,Koʻolauloa,Oʻahu,1,1298963.427573854,0.7698446151542198
Waiau,ʻEwa,Oʻahu,1,9363715.084805908,0.10679521866514889
Wailua,Hilo,Hawaiʻi,1,1471813.017668941,0.6794341319142571
Waimano,ʻEwa,Oʻahu,1,12371676.415835273,0.08082978946329684
ʻĀʻamakaō,Kohala,Hawaiʻi,1,7061935.269023299,0.1416042432994865
ʻŌpana 2,Koʻolauloa,Oʻahu,1,322646.9183710867,3.099363245273173
East ʻŌhiʻa,Kona,Molokaʻi,1,1357208.177135584,0.7368066423756161
Honouliwai,Kona,Molokaʻi,1,4033068.383360994,0.24795017216312137
Hālawa,Koʻolau,Molokaʻi,1,34508209.681684226,0.028978611444185284
Kalaupapa,Koʻolau,Molokaʻi,1,5032136.244128972,0.19872275937812828
Kapuaoko‘olau,Kona,Molokaʻi,1,2951302.058303207,0.33883349797645934
Ka‘ili‘ula,Kona,Molokaʻi,1,366170.02222397923,2.7309717871669985
Keonekūʻino,Kona,Molokaʻi,1,433046.8917223811,2.309218745394166
Kumimi,Kona,Molokaʻi,1,545728.2637548707,1.832413797151577
Makanalua,Koʻolau,Molokaʻi,1,7814305.775522381,0.1279704210107072
Moakea,Kona,Molokaʻi,1,4353536.386423533,0.2296983213735141
Puna‘ula,Kona,Molokaʻi,1,1177877.012571279,0.8489850717241034
West ʻŌhiʻa,Kona,Molokaʻi,1,1426814.2704743147,0.7008620678202011
