sample_ID,Salinity_raw,offset,Salinity,NO3+NO2 (umol/L),NO2 (umol/L),PO4 (umol/L),SiO2 (umol/L),NH3 (umol/L),rerun,
OA452,32.78,0,32.78,1.256,0,0.5303,26.102,2.1363,5/1/2026,Y
OA453,34.41,0,34.41,0.4264,0,0.1972,1.8793,0,5/1/2026,Y
OA454,34.78,0,34.78,0.8634,0,0.1653,2.8489,0.128,5/1/2026,Y
OA455,34.38,0,34.38,9.184,0,0.2043,9.6902,0,5/1/2026,Y
OA456,34.55,0,34.55,1.0169,0,0.1922,1.9427,0.1305,5/1/2026,Y
OA457,33.22,0,33.22,1.6715,0,0.3523,30.3736,0.3269,5/1/2026,Y
OA459,34.85,0,34.85,1.7699,0.1002,0.2576,4.5742,0,5/1/2026,Y
OA460,34.46,0,34.46,0.3778,0,0.1295,3.2023,0,5/1/2026,Y
OA464,34.92,0,34.92,0.4251,0,0.2744,0.7738,0,5/1/2026,Y
OA466,7.48,0,7.48,52.962,0.8943,2.0555,239.6747,0,5/1/2026,Y
OA467,35.06,0,35.06,1.063,0,0.2325,3.0736,0.1305,5/1/2026,Y
OA470,35.05,0,35.05,0.8969,0,0.2309,0.9243,0.3269,5/1/2026,Y
OA472,33.87,0,33.87,1.5433,0,0.4206,20.4333,0,5/1/2026,Y
OA6,4.34,-0.1,4.24,,0.936,0.969,,,5/6/2026,Y
OA7,16.34,-0.1,16.24,4.285,0.212,0.528,92.975,,5/6/2026,
OA8,23.95,-0.1,23.85,0.077,0,0.176,35.48,,5/6/2026,
OA9,25.81,-0.1,25.71,0.125,0,0.138,29.711,,5/6/2026,
OA10,31.45,-0.1,31.35,0.107,0,0.07,12.55,,5/6/2026,
OA11,33.31,-0.1,33.21,0.39,0,0.07,6.81,,5/6/2026,
OA12,20.82,-0.1,20.72,0.06,0,1.353,54.737,,5/6/2026,
OA13,27.17,-0.1,27.07,0.086,0,0.288,16.284,,5/6/2026,
OA14,30.3,-0.1,30.2,0.079,0,0.128,9.438,,5/6/2026,
OA15,32.78,-0.1,32.68,0.138,0,0.07,6.59,,5/6/2026,
OA16,34.02,-0.1,33.92,0.351,0,0.07,3.113,,5/6/2026,
OA706,29.49,-0.1,29.39,0.713,0,0.15,3.068,,5/6/2026,
OA710,34.91,-0.1,34.81,0.271,0,0.082,4.576,,5/6/2026,
OA711,33.61,-0.1,33.51,0.312,0,0.073,4.742,,5/6/2026,
OA712,3.95,-0.1,3.85,,1.086,0.589,,,5/6/2026,Y
OA713,33.15,-0.1,33.05,,0,0.242,10.252,,5/6/2026,Y
OA714,33.3,-0.1,33.2,7.896,0,0.19,17.414,,5/6/2026,
OA715,34.53,-0.1,34.43,0.252,0,0.153,1.91,,5/6/2026,
OA716,32.87,-0.1,32.77,0.219,0,0.133,1.728,,5/6/2026,
OA717,31.56,-0.1,31.46,0.272,0,0.176,2.549,,5/6/2026,
OA718,35.6,-0.1,35.5,0.229,0,0.075,2.079,,5/6/2026,
OA719,34.09,-0.1,33.99,0.207,0,0.092,1.545,,5/6/2026,
OA720,31.93,-0.1,31.83,2.937,0,0.213,16.184,,5/6/2026,
OA721,35.47,-0.1,35.37,0.322,0,0.1,2.119,,5/6/2026,
OA722,34.44,-0.1,34.34,0.235,0,0.192,3.339,,5/6/2026,
OA723,35.41,-0.1,35.31,0.251,0,0.137,5.03,,5/6/2026,
OA724,35.56,-0.1,35.46,0.273,0,0.09,2.284,,5/6/2026,
OA725,34.58,-0.1,34.48,0.687,0,0.095,6.026,,5/6/2026,
OA726,31.32,-0.1,31.22,,0.188,0.316,30.963,,5/6/2026,Y
OA727,34.07,-0.1,33.97,0.916,0,0.131,10.382,,5/6/2026,
OA728,34.02,-0.1,33.92,2.353,0.111,0.274,9.508,,5/6/2026,
OA729,35.26,-0.1,35.16,0.49,0,0.146,0.571,,5/6/2026,
OA730,33.85,-0.1,33.75,5.61,0,0.22,13.942,,5/6/2026,
OA731,33.57,-0.1,33.47,6.125,0,0.139,22.808,,5/6/2026,
OA732,34.42,-0.1,34.32,3.083,0,0.126,11.421,,5/6/2026,
OA733,34.91,-0.1,34.81,1.742,0,0.091,5.507,,5/6/2026,
OA734,33.96,-0.1,33.86,0.387,0,0.09,3.949,,5/6/2026,
OA745,34.83,-0.1,34.73,0.265,0,0.096,5.712,,5/6/2026,
OA746,32.82,-0.1,32.72,2.608,0,0.314,58.043,,5/6/2026,
OA747,35.1,-0.1,35,0.63,0,0.127,11.096,,5/6/2026,
OA748,31.89,-0.1,31.79,1.2,0,0.397,65.631,,5/6/2026,
OA749,30.57,-0.1,30.47,3.369,0,0.413,76.496,,5/6/2026,
OA750,34.26,-0.1,34.16,0.111,0,0.234,10.003,,5/6/2026,
OA751,34.51,-0.1,34.41,1.174,0,0.152,7.347,,5/6/2026,
OA752,34.89,-0.1,34.79,0.587,0,0.113,1.798,,5/6/2026,
OA753,35.18,-0.1,35.08,0.543,0,0.365,6.29,,5/6/2026,
OA754,35.2,-0.1,35.1,0.27,0,0.114,8.407,,5/6/2026,
OA780,34,-0.1,33.9,2.545,0,0.254,20.718,,5/6/2026,
OA781,33.78,-0.1,33.68,0.428,0,0.183,13.041,,5/6/2026,
OA782,31.84,-0.1,31.74,,0,0.323,51.071,,5/6/2026,Y
OA783,20.77,-0.1,20.67,3.531,0,0.418,,,5/6/2026,Y
OA784,34.67,-0.1,34.57,0.871,0,0.151,9.84,,5/6/2026,
OA851,35.52,-0.1,35.42,0.539,0,0.099,4.209,,5/6/2026,
OA852,34.47,-0.1,34.37,1.178,0,0.107,5.044,,5/6/2026,
OA853,34.64,-0.1,34.54,0.507,0,0.184,2.897,,5/6/2026,
OA854,35.27,-0.1,35.17,1.728,0,0.157,11.938,,5/6/2026,
OA860,33.47,-0.1,33.37,1.568,0,0.152,8.404,,5/6/2026,
OA865,35.52,-0.1,35.42,0.952,0,0.164,4.663,,5/6/2026,
OA866,35.51,-0.1,35.41,1.187,0,0.139,5.341,,5/6/2026,
OA867,35.45,-0.1,35.35,0.841,0,0.137,4.684,,5/6/2026,
M4,35.48,-0.06,35.42,1.049,0,0.276,2.179,0.133,5/8/2026,Y
M5,31.69,-0.06,31.63,0.511,0,0.181,1.292,0.244,5/8/2026,Y
M9,35.24,-0.06,35.18,0.877,0,0.277,2.261,0.355,5/8/2026,Y
M10,34.35,-0.06,34.29,1.151,0,0.527,2.205,0.851,5/8/2026,Y
M52,34.1,-0.06,34.04,0.977,0,0.221,2.151,0.461,5/8/2026,Y
M53,34.8,-0.06,34.74,3.403,0,0.22,13.481,0.385,5/8/2026,Y
M72,31.7,-0.06,31.64,12.023,0.114,0.351,39.409,0.921,5/8/2026,Y
M76,18.53,-0.06,18.47,7.909,0,0.247,29.59,0.51,5/8/2026,Y
M77,34.38,-0.06,34.32,2.46,0,0.206,8.892,0.448,5/8/2026,Y
M86,29.56,-0.06,29.5,11.7,0,0.261,51.367,0.465,5/8/2026,Y
M91,35.38,-0.06,35.32,2.517,0,0.388,14.254,0.57,5/8/2026,Y
M97,31.01,-0.06,30.95,1.306,0,0.168,6.855,0.307,5/8/2026,Y
M100,33.51,-0.06,33.45,16.091,0,0.333,85.869,0.745,5/8/2026,Y
M107,31.94,-0.06,31.88,4.129,0.099,0.533,17.488,0.909,5/8/2026,Y
M108,35.68,-0.06,35.62,0.878,0,0.193,4.494,0.327,5/8/2026,Y
M109,35.6,-0.06,35.54,0.551,0,0.202,4.203,0.251,5/8/2026,Y
M120,32.28,-0.06,32.22,1.293,0,0.169,7.125,0.277,5/8/2026,Y
M130,34.35,-0.06,34.29,5.534,0,0.667,41.245,0.862,5/8/2026,Y
M184,35.57,-0.06,35.51,0.99,0,0.159,5.833,0.258,5/8/2026,Y
M185,0.64,-0.06,0.58,26.991,0.27,0.986,174.117,1.137,5/8/2026,Y
M188,35.57,-0.06,35.51,0.718,0,0.129,3.736,0.08,5/8/2026,Y
M192,35.64,-0.06,35.58,0.778,0,0.186,4.455,0.08,5/8/2026,Y
M197,23.65,-0.06,23.59,1.327,0,0.835,4.907,1.94,5/8/2026,Y
M198,31.23,-0.06,31.17,0.536,0,0.164,2.033,0.221,5/8/2026,Y
M200,31.43,-0.06,31.37,1.171,0,0.206,8.565,0.105,5/8/2026,Y
M202,35.14,-0.06,35.08,2.044,0,0.163,10.959,0.08,5/8/2026,Y
M203,34.79,-0.06,34.73,7.755,0.093,0.255,23.747,0.145,5/8/2026,Y
M204,25.71,-0.06,25.65,1.518,0,0.247,8.014,0.3,5/8/2026,Y
M205,2.93,-0.06,2.87,10.422,0,0.539,118.205,2.927,5/8/2026,Y
OA62,35.48,-0.06,35.42,1.579,0,0.18,9.114,0.177,5/8/2026,Y
OA64,34.76,-0.06,34.7,5.202,0,0.281,30.542,0.176,5/8/2026,Y
OA65,35.02,-0.06,34.96,4.442,0,0.251,21.518,0.176,5/8/2026,Y
OA66,35.1,-0.06,35.04,1.775,0,0.204,11.517,0.337,5/8/2026,Y
OA67,35.33,-0.06,35.27,3.353,0,0.258,12.303,0.096,5/8/2026,Y
OA68,35.27,-0.06,35.21,2.983,0,0.276,11.552,0.256,5/8/2026,Y
OA69,34.94,-0.06,34.88,0.06,0.092,0.417,20.649,0.564,5/8/2026,Y
OA70,35.24,-0.06,35.18,3.435,0,0.259,16.676,0.127,5/8/2026,Y
OA1,32.45,-0.06,32.39,11.419,0.213,0.585,52.274,1.153,5/8/2026,Y
OA2,34.77,-0.06,34.71,0.734,0,0.258,15.005,0.418,5/8/2026,Y
OA3,34.57,-0.06,34.51,0.888,0,0.233,22.429,0.237,5/8/2026,Y
OA4,34.35,-0.06,34.29,1.903,0,0.217,29.052,0.437,5/8/2026,Y
OA5,34.69,-0.06,34.63,0.811,0.073,0.183,19.86,0.523,5/8/2026,Y
OA700,21.9,-0.06,21.84,1.013,0,0.337,25.241,1.891,5/8/2026,Y
OA701,29.19,-0.06,29.13,0.06,0,0.091,1.718,0.406,5/8/2026,Y
OA702,34.63,-0.06,34.57,0.293,0,0.174,8.113,1.024,5/8/2026,Y
OA703,29.98,-0.06,29.92,1.084,0,0.314,5.096,2.206,5/8/2026,Y
OA704,22.75,-0.06,22.69,0.184,0,0.169,3.878,0.417,5/8/2026,Y
OA705,26.26,-0.06,26.2,0.523,0.08,0.565,4.084,2.233,5/8/2026,Y
OA707,22.28,-0.06,22.22,0.439,0,0.35,3.204,1.687,5/8/2026,Y
OA708,27.84,-0.06,27.78,0.358,0,0.105,2.676,0.377,5/8/2026,Y
OA709,34.65,-0.06,34.59,,,,,,5/8/2026,Y
OA785,34.24,-0.06,34.18,0.06,0,0.245,4.351,0.255,5/8/2026,Y
OA790,4.26,-0.06,4.2,144.161,1.775,3.597,343.267,21.724,5/8/2026,Y
OA791,32.53,-0.06,32.47,5.636,0.075,0.193,13.276,0.575,5/8/2026,Y
OA792,35.15,-0.06,35.09,0.214,0,0.087,2.627,0.316,5/8/2026,Y
OA793,2.79,-0.06,2.73,265.982,9.721,5.983,472.048,18.608,5/8/2026,Y
OA794,2.54,-0.06,2.48,156.576,2.388,3.748,380.406,19.659,5/8/2026,Y
OA796,15.92,-0.06,15.86,95.356,5.806,1.356,255.602,12.648,5/8/2026,Y
OA797,32.35,-0.06,32.29,8.022,0.259,0.298,38.141,3.277,5/8/2026,Y
OA798,32.7,-0.06,32.64,12.678,0.488,0.353,22.967,2.42,5/8/2026,Y
OA799,33.21,-0.06,33.15,,,,,,5/8/2026,Y
OA211,3.76,0,3.76,,0.388,1.325,,0.312,5/21/2026,Y
OA222,32.95,0,32.95,2.275,0.099,0.205,13.039,1.233,5/21/2026,
OA229,13.2,0,13.2,,,,,,5/21/2026,Y
OA473,33.85,0,33.85,0.5,0,0.158,4.906,0.135,5/21/2026,
OA474,33.73,0,33.73,0.143,0,0.098,6.555,0,5/21/2026,
OA475,32.23,0,32.23,2.42,0,0.214,28.384,1.367,5/21/2026,
OA476,30.84,0,30.84,0.116,0,0.214,19.674,0,5/21/2026,
OA477,34.19,0,34.19,0.415,0,0.222,6.612,0,5/21/2026,
OA478,28,0,28,,0.219,0.515,83.943,0.564,5/21/2026,Y
OA479,32.57,0,32.57,0.218,0,0.191,25.611,0.092,5/21/2026,
OA480,33.94,0,33.94,0.92,0.139,0.252,4.381,0.786,5/21/2026,
OA481,34.25,0,34.25,0,0,0.118,1.823,0.239,5/21/2026,
OA482,34.02,0,34.02,0.528,0,0.158,1.458,0,5/21/2026,
OA484,34.1,0,34.1,0.78,0,0.114,4.784,0.101,5/21/2026,
OA485,32.3,0,32.3,0.827,0,0.134,20.475,0.478,5/21/2026,
OA486,34.15,0,34.15,0.142,0,0.187,2.912,0.154,5/21/2026,
OA487,34.02,0,34.02,0.28,0,0.132,4.383,0.127,5/21/2026,
OA488,34.1,0,34.1,0.566,0.07,0.173,1.28,0.155,5/21/2026,
OA489,34.03,0,34.03,0.383,0,0.078,2.263,0.084,5/21/2026,
OA490,34.26,0,34.26,1.545,0,0,3.094,0.288,5/21/2026,
OA491,33.31,0,33.31,1.895,0,0.083,13.896,0.17,5/21/2026,
OA492,32.18,0,32.18,1.407,0,0.149,32.81,0.153,5/21/2026,
OA494,31.72,0,31.72,0.99,0,0.187,37.182,0.226,5/21/2026,
OA496,33.51,0,33.51,0,0,0,0.581,0,5/21/2026,
OA497,34.28,0,34.28,1.173,0.111,0.197,3.895,0.257,5/21/2026,
OA499,22.61,0,22.61,0,0,1.21,10.285,0.268,5/21/2026,
OA500,32.08,0,32.08,0,0,0,22.898,0.083,5/21/2026,
OA501,33.25,0,33.25,0,0,0,7.757,0,5/21/2026,
OA502,34.37,0,34.37,0,0,0,0.349,0,5/21/2026,
OA503,33.95,0,33.95,0.119,0,0,8.515,0.14,5/21/2026,
OA504,34.53,0,34.53,0,0,0,1.501,0,5/21/2026,
OA521,33.99,0,33.99,0.815,0,0.107,6.609,0.126,5/21/2026,
OA522,31.71,0,31.71,0.337,0,0.101,50.924,0.731,5/21/2026,
OA523,33.07,0,33.07,0,0,0.101,21.278,0.27,5/21/2026,
OA524,32.67,0,32.67,0.201,0,0.072,24.083,0,5/21/2026,
OA525,34.21,0,34.21,1.116,0,0.137,3.678,0.123,5/21/2026,
OA527,34.16,0,34.16,0.176,0,0,2.391,0.124,5/21/2026,
OA532,30.49,0,30.49,1.012,0,0.124,57.918,0.487,5/21/2026,
OA533,31.18,0,31.18,1.819,0,0.14,52.074,0.335,5/21/2026,
OA551,32.57,0,32.57,0.4,0,0,22.085,0.498,5/21/2026,
OA552,34.18,0,34.18,0.603,0,0,1.81,0.224,5/21/2026,
OA553,33.47,0,33.47,0.494,0,0.082,9.052,0,5/21/2026,
OA554,33.59,0,33.59,0.188,0,0,3.94,1.437,5/21/2026,
OA562,33.33,0,33.33,0,0,0,0.701,0,5/21/2026,
OA564,33.1,0,33.1,,0,0.139,10.699,0.204,5/21/2026,Y
OA573,30.85,0,30.85,5.097,0,0.173,55.629,0.266,5/21/2026,
OA574,33.34,0,33.34,0.362,0,0.08,3.411,0,5/21/2026,
OA575,33.92,0,33.92,0,0,0,0.595,0,5/21/2026,
OA583,32.52,0,32.52,0.99,0,0.188,29.176,0.308,5/21/2026,
OA584,33.9,0,33.9,4.447,0.075,0.086,4.305,0.229,5/21/2026,
OA585,34.32,0,34.32,0.065,0,0.1,1.352,0.222,5/21/2026,
OA593,34.11,0,34.11,0.432,0,0,0.85,0.174,5/21/2026,
OA594,33.64,0,33.64,1.922,0.133,0.142,6.475,0.455,5/21/2026,
OA595,34.27,0,34.27,0,0,0,0.156,0.219,5/21/2026,
OA603,33.73,0,33.73,0,0,0,0.369,0,5/21/2026,
OA604,34.59,0,34.59,0,0,0,0.709,0,5/21/2026,
OA605,33.16,0,33.16,0.741,0,0.116,6.844,0,5/21/2026,
OA606,33.55,0,33.55,0.255,0,0.096,5.574,0,5/21/2026,
OA607,33.46,0,33.46,0.718,0.073,0.119,17.226,1.42,5/21/2026,
OA612,31.12,0,31.12,5.258,0,0.182,60.346,0.246,5/21/2026,
OA613,26.42,0,26.42,0,0,1.062,48.275,0,5/21/2026,
MA1,31.89,0,31.89,35.102,0,0.596,35.763,0.248,6/2/2026,
M7,29.95,0,29.95,1.597,0,0.104,2.587,0,6/2/2026,
M16,34.73,0,34.73,0,0,0.191,2.031,0,6/2/2026,
M22,29.55,0,29.55,0.281,0,0.234,18.854,0.739,6/2/2026,
M25,34.22,0,34.22,5.443,0,0.259,17.065,0,6/2/2026,
M31,26.28,0,26.28,0.109,0,0.296,22.761,0.392,6/2/2026,
M34,32.29,0,32.29,44.221,0.574,0.957,59.777,0.369,6/2/2026,
M36,31.57,0,31.57,12.935,0,,44.3,0.995,6/2/2026,
M38,22.6,0,22.6,3.389,0.076,0.348,20.113,1.106,6/2/2026,
M40,31.85,0,31.85,6.091,0,,38.523,0,6/2/2026,
M42,32.66,0,32.66,5.105,0.152,0.368,32.342,1.823,6/2/2026,
M48,32.1,0,32.1,13.763,0.082,,48.751,0,6/2/2026,
M63,25.59,0,25.59,0.987,0,0.291,7.26,0.342,6/2/2026,
M74,24.27,0,24.27,1.702,0,0.057,14.107,0.339,6/2/2026,
M81,34.36,0,34.36,1.343,0,0.034,3.745,0,6/2/2026,
M102,25.55,0,25.55,0.16,0,0.156,4.736,0.104,6/2/2026,
M105,34.06,0,34.06,0.267,0,0.173,7.358,0,6/2/2026,
M122,32.37,0,32.37,0.772,0,0.188,4.829,0,6/2/2026,
M128,34,0,34,6.398,0,0.425,28.595,0,6/2/2026,
M141,25.55,0,25.55,11.425,0,,12.248,0,6/2/2026,
M154,32.64,0,32.64,5.445,0.092,0.376,26.832,0,6/2/2026,
M162,33.85,0,33.85,0.986,0,0.24,13.237,0,6/2/2026,
M164,25.97,0,25.97,9.727,0.341,,13.919,0,6/2/2026,
M178,32.71,0,32.71,2.184,0,0.176,5.719,0,6/2/2026,
M186,34.48,0,34.48,2.608,0,0.163,6.737,0,6/2/2026,
M190,34.58,0,34.58,2.849,0,0.221,10.292,0,6/2/2026,
M191,33.55,0,33.55,21.355,0,0.232,17.034,0,6/2/2026,
M195,34.73,0,34.73,0.999,0,0.246,18.876,0,6/2/2026,
M196,34.57,0,34.57,1.989,0,0.272,12.762,0,6/2/2026,
MKR13,34.22,0,34.22,5.103,0,0.25,19.674,0,6/2/2026,
OA21,34.25,0,34.25,0,0,0.112,2.234,0,6/2/2026,
OA22,34.81,0,34.81,0,0,0.168,2.327,0,6/2/2026,
OA23,32.29,0,32.29,8.213,0.136,,32.84,0,6/2/2026,
OA24,29.7,0,29.7,31.862,0.13,0.598,,0.14,6/2/2026,
OA25,34.55,0,34.55,0,0,0.453,8.377,0,6/2/2026,
OA26,33.33,0,33.33,12.432,0,0.298,27.056,0,6/2/2026,
OA27,32.37,0,32.37,12.433,0.224,0.432,47.769,0.138,6/2/2026,
OA28,31.35,0,31.35,23.058,0,0.377,53.899,0,6/2/2026,
OA29,30.17,0,30.17,2.995,0,0.252,54.628,0,6/2/2026,
OA30,33.79,0,33.79,7.765,0,0.137,11.166,0,6/2/2026,
OA31,17.54,0,17.54,12.369,0,0.801,46.541,1.003,6/2/2026,
OA32,33.43,0,33.43,9.201,0.082,0.344,38.473,0,6/2/2026,
OA33,33.91,0,33.91,1.758,0,0.262,23.307,0,6/2/2026,
OA34,32.88,0,32.88,14.468,0,0.441,50.585,0,6/2/2026,
OA35,22.57,0,22.57,60.651,0.158,0.984,,0.957,6/2/2026,
OA36,15.8,0,15.8,20.738,1.602,0.201,,9.678,6/2/2026,
OA37,31.99,0,31.99,2.252,0,0.158,38.668,0,6/2/2026,
OA38,33.28,0,33.28,18.812,0,0.186,54.785,0,6/2/2026,
OA40,34.19,0,34.19,1.78,0,0.144,11.195,0,6/2/2026,
OA43,34.45,0,34.45,0.732,0,0.181,10.144,0,6/2/2026,
OA44,34.72,0,34.72,0.574,0,0.128,6.282,0,6/2/2026,
OA46,34.29,0,34.29,2.703,0,0.107,17.05,0,6/2/2026,
OA47,34.44,0,34.44,0.37,0,0.006,5.225,0,6/2/2026,
OA49,34,0,34,0.591,0,0.204,12.592,0,6/2/2026,
OA51,34.29,0,34.29,8.922,0.133,0.108,3.706,0,6/2/2026,
OA52,33.75,0,33.75,23.698,0.128,0.302,15.917,0.188,6/2/2026,
OA53,34.14,0,34.14,13.996,0,0.146,10.219,0,6/2/2026,
OA54,31.29,0,31.29,45.562,0.321,1.065,63.24,0,6/2/2026,
OA55,23.39,0,23.39,0.153,0,0.036,1.254,0,6/2/2026,
OA56,34.41,0,34.41,0.338,0,0.09,2.459,0,6/2/2026,
OA57,34.76,0,34.76,0.262,0,0.089,1.592,0,6/2/2026,
OA58,30.7,0,30.7,61.634,0,0.435,71.655,0,6/2/2026,
OA59,32.1,0,32.1,19.125,0,0.186,27.826,0,6/2/2026,
OA60,34.03,0,34.03,2.305,0,0.13,10.985,0,6/2/2026,
OA71,28.36,0,28.36,26.838,0.285,0.721,147.304,0,6/2/2026,
OA72,22.81,0,22.81,33.218,0.471,0.97,151.885,3.015,6/2/2026,
OA74,33.73,0,33.73,5.025,0,0.241,16.475,0,6/2/2026,
OA77,33.12,0,33.12,2,0,0.153,16.223,0,6/2/2026,
OA78,25.81,0,25.81,22.467,0.363,0.629,95.816,0,6/2/2026,
OA90,32.91,0,32.91,6.403,0.131,0.344,32.148,0.877,6/2/2026,
OA91,32.1,0,32.1,11.773,0.135,0.311,50.005,0.759,6/2/2026,
OA92,32.64,0,32.64,4.963,0.139,0.26,32.401,0.982,6/2/2026,
OA95,15.24,0,15.24,45.236,0.257,1.358,165.157,2.826,6/2/2026,
OA109,34.32,0,34.32,1.218,0,0.126,7.451,0,6/2/2026,
OA110,32.84,0,32.84,26.749,0,0.091,34.751,0,6/2/2026,
OA112,34.61,0,34.61,0.677,0,0.236,6.867,0,6/2/2026,
OA115,31.6,0,31.6,0.455,0,0.188,6.151,0,6/2/2026,
OA117,31.33,0,31.33,0.85,0,0.125,6.687,0,6/2/2026,
OA230,29.67,0,29.67,15.264,0.253,0.5,109.928,0,6/2/2026,
OA235,34.45,0,34.45,5.14,0.138,,13.824,1.469,6/2/2026,
OA73,28.35,0,28.35,26.578,0.36,0.714,123.759,4.324,6/3/2026,
OA76,32.82,0,32.82,0.518,0,0.167,19.884,0.554,6/3/2026,
OA79,34.21,0,34.21,4.722,0,0.195,8.91,0,6/3/2026,
OA80,26.97,0,26.97,64.71,0.375,1.256,195.51,0.473,6/3/2026,
OA106,32.13,0,32.13,1.62,0,0.238,10.623,0,6/3/2026,
OA107,34.57,0,34.57,2.689,0,0.164,9.802,0,6/3/2026,
OA108,29.36,0,29.36,0.461,0,0.117,1.089,0,6/3/2026,
OA111,34.58,0,34.58,1.986,0,0.213,6.999,0,6/3/2026,
OA113,31.5,0,31.5,12.403,0,0.161,19.437,0,6/3/2026,
OA114,28.72,0,28.72,0.944,0,0.177,14.889,0.613,6/3/2026,
OA116,33.72,0,33.72,0.472,0,0.108,1.677,0,6/3/2026,
OA134,25.19,0,25.19,30.226,0.127,0.583,118.48,0.535,6/3/2026,
OA139,25.46,0,25.46,7.822,0,0.182,30.292,0,6/3/2026,
OA142,30.3,0,30.3,5.773,0.124,0.331,39.225,4.982,6/3/2026,
OA143,29.52,0,29.52,5.539,0.112,0.325,29.265,1.299,6/3/2026,
OA234,28.46,0,28.46,22.738,0.301,0.657,142.362,0.463,6/3/2026,
MK1,33.8,0,33.8,0.42,0,1.216,9.807,0,6/3/2026,
MK2,34.94,0,34.94,0.713,0,0.593,7.128,0.332,6/3/2026,
MK3,34.17,0,34.17,0.214,0,0.559,18.352,0,6/3/2026,
MK4,33.99,0,33.99,0.379,0,0.49,18.949,0,6/3/2026,
MK5,32.17,0,32.17,0.343,0,0.858,37.487,1.221,6/3/2026,
MK23,8.64,0,8.64,4.109,0,0.576,48.135,3.886,6/3/2026,
OA118,28.65,0,28.65,2.503,0.205,0.752,67.611,0.484,6/3/2026,
OA121,31.61,0,31.61,6.113,0.259,0.473,39.193,1.21,6/3/2026,
OA123,31.38,0,31.38,6.208,0.176,1.179,75.57,0,6/3/2026,
OA127,31.4,0,31.4,0.572,0,0.599,22.641,0,6/3/2026,
OA128,28.7,0,28.7,21.404,0.615,1.12,100.183,0,6/3/2026,
OA129,30.15,0,30.15,1.337,0.071,1.069,73.015,0,6/3/2026,
OA130,33.74,0,33.74,1.817,0,0.235,13.85,0.082,6/3/2026,
OA131,30.92,0,30.92,6.45,0.244,1.024,45.325,2.457,6/3/2026,
M169,31.57,0,31.57,2.89,0.097,0.575,20.818,1.551,6/3/2026,
M207,23.49,0,23.49,4.297,0.123,0.695,41.582,4.601,6/3/2026,
M208,33.65,0,33.65,2.579,0.142,0.234,4.107,1.074,6/3/2026,
M214,34.69,0,34.69,1.425,0.09,0.152,3.33,0.605,6/3/2026,
M216,34.24,0,34.24,0.725,0,0.091,2.014,0.082,6/3/2026,
M218,34.69,0,34.69,1.366,0.086,0.14,3.699,0,6/3/2026,
M222,13.52,0,13.52,2.958,0.133,0.618,72.311,1.624,6/3/2026,
M223,32.86,0,32.86,0.708,0,0.21,1.092,0.455,6/3/2026,
M224,28.08,0,28.08,1.779,0,0.403,90.36,0.356,6/3/2026,
M225,26.67,0,26.67,0.544,0,,1.085,0.34,6/3/2026,
M228,35.01,0,35.01,1.632,0.082,0.167,4.158,0.218,6/3/2026,
M232,32.56,0,32.56,0.318,0,1.21,30.466,0.103,6/3/2026,
M233,32.49,0,32.49,3.243,0.14,0.205,11.114,1.904,6/3/2026,
M234,34.8,0,34.8,1.363,0.08,0.142,4.365,0.411,6/3/2026,
M238,34.99,0,34.99,0.492,0,0.115,1.119,0,6/3/2026,
M239,33.59,0,33.59,0.542,0,0.151,1.669,0,6/3/2026,
M241,29.71,0,29.71,5.499,0,,52.928,7.146,6/3/2026,
M243,33.4,0,33.4,0.312,0,0.798,14.795,0.126,6/3/2026,
M247,26.42,0,26.42,0.563,0,0.19,1.564,0.221,6/3/2026,
M248,30.98,0,30.98,2.237,0.083,,26.18,2.058,6/3/2026,
M258,18.69,0,18.69,27.257,0.462,,234.907,3.714,6/3/2026,
M261,28.21,0,28.21,3.381,0.167,0.597,40.473,3.19,6/3/2026,
M263,35.07,0,35.07,1.112,0,0.13,3.773,0.238,6/3/2026,
M266,34.89,0,34.89,1.444,0.078,0.143,4.105,0.371,6/3/2026,
M269,32.47,0,32.47,2.528,0,0.298,11.407,1.799,6/3/2026,
M270,35.11,0,35.11,0.573,0,0.132,1.803,0.156,6/3/2026,
M271,34.77,0,34.77,2.445,0.132,0.215,3.617,1.002,6/3/2026,
M274,34.99,0,34.99,1.459,0.096,0.153,4.61,0.183,6/3/2026,
M275,28.46,0,28.46,4.933,0.187,,65.38,6.821,6/3/2026,
M276,34.56,0,34.56,1.814,0.086,,3.747,0.56,6/3/2026,
M277,30.65,0,30.65,2.536,0,0.543,63.788,5.269,6/3/2026,
M278,33.09,0,33.09,4.736,0.079,0.41,20.457,1.112,6/3/2026,
M282,16.38,0,16.38,2.324,0.071,0.566,57.96,3.197,6/3/2026,
M283,34.91,0,34.91,0.353,0,0.172,2.344,0.708,6/3/2026,
M284,32.25,0,32.25,3.562,0.175,,27.923,6.221,6/3/2026,
M286,32.24,0,32.24,0.431,0,0.404,21.836,0.115,6/3/2026,
M288,31.63,0,31.63,2.59,0.145,0.612,37.427,3.183,6/3/2026,
M293,31.8,0,31.8,0.85,0,0.227,4.727,0.937,6/3/2026,
M295,34.08,0,34.08,3.953,0.121,0.493,11.433,1.503,6/3/2026,
M297,28.93,0,28.93,6.872,0.43,,34.212,16.712,6/3/2026,
M298,29.56,0,29.56,27.42,0.499,,59.263,7.072,6/3/2026,
