sample_id,ahupuaa,moku,mokupuni
OA58,Mohopilo,Honuaʻula,Maui
OA582,Maunalua,Kona,Oʻahu
OA583,Waikīkī,Kona,Oʻahu
OA584,Waikīkī,Kona,Oʻahu
OA585,Honolulu,Kona,Oʻahu
OA59,Mohopilo,Honuaʻula,Maui
OA593,Waikīkī,Kona,Oʻahu
OA594,Waikīkī,Kona,Oʻahu
OA595,Honolulu,Kona,Oʻahu
OA6,Kāneʻohe,Koʻolaupoko,Oʻahu
OA60,Palauea,Honuaʻula,Maui
OA603,Waimānalo,Koʻolaupoko,Oʻahu
OA604,Waikīkī,Kona,Oʻahu
OA605,Kailua,Koʻolaupoko,Oʻahu
OA606,Kailua,Koʻolaupoko,Oʻahu
OA607,N/A,ʻEwa,Oʻahu
OA608,Waikīkī,Kona,Oʻahu
OA611,Maunalua,Kona,Oʻahu
OA612,Waikīkī,Kona,Oʻahu
OA613,Kailua,Koʻolaupoko,Oʻahu
OA62,Wailuku,Pūʻali Komohana,Maui
OA64,Wailuku,Pūʻali Komohana,Maui
OA65,Wailuku,Pūʻali Komohana,Maui
OA66,Wailuku,Pūʻali Komohana,Maui
OA67,Hāmākuapoko,Hāmākuapoko,Maui
OA68,Wailuku,Pūʻali Komohana,Maui
OA69,Wailuku,Pūʻali Komohana,Maui
OA7,Kāneʻohe,Koʻolaupoko,Oʻahu
OA70,Hāmākuapoko,Hāmākuapoko,Maui
OA700,ʻŌiʻo 1,Koʻolauloa,Oʻahu
OA701,ʻŌiʻo 2,Koʻolauloa,Oʻahu
OA702,Hanakaʻoe,Koʻolauloa,Oʻahu
OA703,Kaunala,Koʻolauloa,Oʻahu
OA704,Kaunala,Koʻolauloa,Oʻahu
OA705,Paumalū,Koʻolauloa,Oʻahu
OA706,Paumalū,Koʻolauloa,Oʻahu
OA707,Paumalū,Koʻolauloa,Oʻahu
OA708,Pūpūkea,Koʻolauloa,Oʻahu
OA709,Pūpūkea,Koʻolauloa,Oʻahu
OA71,Wailuku,Pūʻali Komohana,Maui
OA710,Kahuku,Koʻolauloa,Oʻahu
OA711,Keana,Koʻolauloa,Oʻahu
OA712,Malaekahana,Koʻolauloa,Oʻahu
OA713,Malaekahana,Koʻolauloa,Oʻahu
OA714,Lāʻiewai,Koʻolauloa,Oʻahu
OA715,Punalau,Koʻolauloa,Oʻahu
OA716,Ulupehupehu,Koʻolauloa,Oʻahu
OA717,Kawela,Koʻolauloa,Oʻahu
OA718,Ulupehupehu,Koʻolauloa,Oʻahu
OA719,Kahuku,Koʻolauloa,Oʻahu
OA72,Wailuku,Pūʻali Komohana,Maui
OA720,Hanakaʻoe,Koʻolauloa,Oʻahu
OA721,Kawela,Koʻolauloa,Oʻahu
OA722,Punalau,Koʻolauloa,Oʻahu
OA723,Punalau,Koʻolauloa,Oʻahu
OA724,Kawela,Koʻolauloa,Oʻahu
OA725,Lāʻiewai,Koʻolauloa,Oʻahu
OA726,Lāʻiewai,Koʻolauloa,Oʻahu
OA727,Lāʻiewai,Koʻolauloa,Oʻahu
OA728,Lāʻiewai,Koʻolauloa,Oʻahu
OA729,Lāʻiewai,Koʻolauloa,Oʻahu
OA73,Wailuku,Pūʻali Komohana,Maui
OA730,Lāʻiemaloʻo,Koʻolauloa,Oʻahu
OA731,Lāʻiemaloʻo,Koʻolauloa,Oʻahu
OA732,Lāʻiemaloʻo,Koʻolauloa,Oʻahu
OA733,Lāʻiemaloʻo,Koʻolauloa,Oʻahu
OA734,Kaipapaʻu,Koʻolauloa,Oʻahu
OA739,Kailua,Koʻolaupoko,Oʻahu
OA74,Kamaʻole,Kula,Maui
OA744,Kailua,Koʻolaupoko,Oʻahu
OA745,Pahipahiʻālua,Koʻolauloa,Oʻahu
OA746,Waialeʻe,Koʻolauloa,Oʻahu
OA747,Pahipahiʻālua,Koʻolauloa,Oʻahu
OA748,Kailua,Koʻolaupoko,Oʻahu
OA749,ʻŌpana 2,Koʻolauloa,Oʻahu
OA750,Kaluanui,Koʻolauloa,Oʻahu
OA751,Kapaka,Koʻolauloa,Oʻahu
OA752,Lāʻiewai,Koʻolauloa,Oʻahu
OA753,Waialeʻe,Koʻolauloa,Oʻahu
OA754,Pahipahiʻālua,Koʻolauloa,Oʻahu
OA759,Kailua,Koʻolaupoko,Oʻahu
OA76,Kēōkea,Kula,Maui
OA764,Kailua,Koʻolaupoko,Oʻahu
OA769,Kailua,Koʻolaupoko,Oʻahu
OA78,Wailuku,Pūʻali Komohana,Maui
OA780,Hauʻula,Koʻolauloa,Oʻahu
OA781,Kapaka,Koʻolauloa,Oʻahu
OA782,Punaluʻu,Koʻolauloa,Oʻahu
OA783,Waiʻono,Koʻolauloa,Oʻahu
OA784,Haleʻaha,Koʻolauloa,Oʻahu
OA785,Waimānalo,Koʻolaupoko,Oʻahu
OA79,Paeahu,Kula,Maui
OA790,Waimānalo,Koʻolaupoko,Oʻahu
OA791,Maunalua,Kona,Oʻahu
OA792,Maunalua,Kona,Oʻahu
OA793,Waimānalo,Koʻolaupoko,Oʻahu
OA794,Waimānalo,Koʻolaupoko,Oʻahu
OA796,Waimānalo,Koʻolaupoko,Oʻahu
OA797,Maunalua,Kona,Oʻahu
OA798,Waimānalo,Koʻolaupoko,Oʻahu
OA799,Maunalua,Kona,Oʻahu
OA8,Kāneʻohe,Koʻolaupoko,Oʻahu
OA80,Wailuku,Pūʻali Komohana,Maui
OA81,Honolulu,Kona,Oʻahu
OA83,Honolulu,Kona,Oʻahu
OA851,Hanakaʻoe,Koʻolauloa,Oʻahu
OA852,Paumalū,Koʻolauloa,Oʻahu
OA853,Pūpūkea,Koʻolauloa,Oʻahu
OA854,Pūpūkea,Koʻolauloa,Oʻahu
OA860,Pūpūkea,Koʻolauloa,Oʻahu
OA865,Kawela,Koʻolauloa,Oʻahu
OA866,Pūpūkea,Koʻolauloa,Oʻahu
OA867,Pūpūkea,Koʻolauloa,Oʻahu
OA88,Heʻeia,Koʻolaupoko,Oʻahu
OA9,Kāneʻohe,Koʻolaupoko,Oʻahu
OA90,Waiohuli,Kula,Maui
OA91,Kaʻonoʻulu,Kula,Maui
OA92,Waiohuli,Kula,Maui
OA938,Waimānalo,Koʻolaupoko,Oʻahu
OA939,Waimānalo,Koʻolaupoko,Oʻahu
OA94,Kuikuiloloa,Waialua,Oʻahu
OA940,Waimānalo,Koʻolaupoko,Oʻahu
OA941,Waimānalo,Koʻolaupoko,Oʻahu
OA942,Waimānalo,Koʻolaupoko,Oʻahu
OA943,Waimānalo,Koʻolaupoko,Oʻahu
OA944,Waimānalo,Koʻolaupoko,Oʻahu
OA945,Waimānalo,Koʻolaupoko,Oʻahu
OA946,Waimānalo,Koʻolaupoko,Oʻahu
OA947,Waimānalo,Koʻolaupoko,Oʻahu
OA949,Waimānalo,Koʻolaupoko,Oʻahu
OA95,Kēōkea,Kula,Maui
OA950,Waimānalo,Koʻolaupoko,Oʻahu
OA953,Waiāhole,Koʻolaupoko,Oʻahu
OA954,Kaʻaʻawa,Koʻolauloa,Oʻahu
OA955,Kahana,Koʻolauloa,Oʻahu
OA959,Kualoa 2,Koʻolaupoko,Oʻahu
OA96,Waikīkī,Kona,Oʻahu
OA960,Makaua 1,Koʻolauloa,Oʻahu
OA963,Kualoa 1,Koʻolaupoko,Oʻahu
OA964,Kaʻaʻawa,Koʻolauloa,Oʻahu
OA965,Punaluʻu,Koʻolauloa,Oʻahu
OA969,Kaʻaʻawa,Koʻolauloa,Oʻahu
OA97,Kaluako‘i,Kona,Molokaʻi
OA970,Kahana,Koʻolauloa,Oʻahu
OA973,Waiheʻe,Koʻolaupoko,Oʻahu
OA974,Kaʻaʻawa,Koʻolauloa,Oʻahu
OA975,Punaluʻu,Koʻolauloa,Oʻahu
OA98,Kaluako‘i,Kona,Molokaʻi
OA99,Kahaluʻu,Koʻolaupoko,Oʻahu
OA999,Kahaluʻu,Koʻolaupoko,Oʻahu
OA237,Pālāwai,Lāhainā,Lānaʻi
OA248,Pālāwai,Lāhainā,Lānaʻi
OA305,Pālāwai,Lāhainā,Lānaʻi
OA361,Honouliuli,ʻEwa,Oʻahu
OA382,Mākaha,Waiʻanae,Oʻahu
OA392,Waiʻanae,Waiʻanae,Oʻahu
OA401,Waiʻanae,Waiʻanae,Oʻahu
OA402,Waipiʻo,ʻEwa,Oʻahu
OA412,Waiʻanae,Waiʻanae,Oʻahu
OA421,Waiʻanae,Waiʻanae,Oʻahu
OA422,Honouliuli,ʻEwa,Oʻahu
OA89,Pālāwai,Lāhainā,Lānaʻi
