objectid,uid,x,y,island,longitude,latitude
63,-159.70661_21.96261,-159.70661765,21.96261508,Kauai,-159.70660333360888,21.962611677425024
64,-159.70494_21.96378,-159.70494509,21.96378927,Kauai,-159.7049307696377,21.96378587037704
65,-159.71137_21.96656,-159.71137577,21.96656752,Kauai,-159.71136144901283,21.96656412423344
66,-159.66144_22.11946,-159.66144654,22.11946964,Kauai,-159.66143222412057,22.119466255221187
67,-159.65420_22.12964,-159.65420325,22.12964519,Kauai,-159.6541889326011,22.129641802631156
68,-159.45977_21.90457,-159.45977812,21.90457829,Kauai,-159.4597637937654,21.90457488566266
69,-159.36000_21.96334,-159.36000496000003,21.96334438,Kauai,-159.35999062109724,21.963340983380814
70,-159.36176_21.96581,-159.36176774,21.96581022,Kauai,-159.36175341059754,21.96580682571508
71,-159.37219_22.05729,-159.37219122,22.057299500000003,Kauai,-159.3721768894684,22.057296105247907
72,-159.36946_22.05793,-159.36946804000002,22.05793067,Kauai,-159.36945370773248,22.05792728339906
73,-159.38467_22.05333,-159.38467690000002,22.05333489,Kauai,-159.38466257125955,22.053331497142224
74,-159.38407_22.05409,-159.38407765,22.05409967,Kauai,-159.3840633213166,22.054096279789132
75,-159.38316_22.05448,-159.3831647,22.05448513,Kauai,-159.38315036789837,22.054481736437214
76,-159.49511_22.21023,-159.49511957000001,22.210238190000002,Kauai,-159.4951052486046,22.21023480896013
77,-159.49588_22.20505,-159.49588683,22.205051179999998,Kauai,-159.49587250096044,22.20504779549783
78,-159.58774_21.92027,-159.58774248,21.92027724,Kauai,-159.5877281583493,21.920273839541043
79,-159.58748_21.92049,-159.58748548,21.92049743,Kauai,-159.5874711589868,21.92049402309599
80,-159.58844_21.92623,-159.58844094,21.92623885,Kauai,-159.58842661704946,21.92623544791516
81,-159.58862_21.92508,-159.58862236000002,21.92508783,Kauai,-159.58860803258193,21.92508442647719
82,-159.39097_22.21195,-159.39097255,22.21195965,Kauai,-159.39095822016068,22.21195626618793
83,-159.50072_22.20278,-159.50072441,22.20278954,Kauai,-159.50071007982413,22.20278615961397
84,-159.36808_22.08363,-159.36808493,22.08363277,Kauai,-159.36807059364412,22.083629378024398
85,-159.36346_22.07411,-159.36346358,22.07411017,Kauai,-159.36344924762957,22.074106783452297
86,-159.34431_22.06002,-159.34431802,22.0600272,Kauai,-159.34430368975336,22.06002381044317
87,-159.37350_22.05443,-159.37350146,22.05443281,Kauai,-159.3734871316927,22.054429423954545
88,-159.37729_22.05450,-159.37729886,22.0545024,Kauai,-159.37728452666903,22.05449900446107
89,-159.38927_22.06084,-159.38927843,22.06084515,Kauai,-159.38926409750923,22.060841759875792
90,-159.65988_21.96372,-159.65988443999998,21.963729,Kauai,-159.65987012054575,21.963725598953022
91,-159.66848_21.95420,-159.66848076,21.9542023,Kauai,-159.66846644278843,21.954198901767064
92,-159.58776_21.91989,-159.58776256000002,21.919891309999997,Kauai,-159.5877482353761,21.919887906076053
93,-159.58579_21.91928,-159.58579091000001,21.91928248,Kauai,-159.58577659150583,21.91927908044133
94,-159.58606_21.92096,-159.58606473,21.920968679999998,Kauai,-159.586050402211,21.920965277387918
95,-159.58791_21.92200,-159.58791448,21.92200188,Kauai,-159.58790015956782,21.921998482461312
96,-159.58669_21.92353,-159.58669168,21.92353889,Kauai,-159.5866773605134,21.923535486833963
97,-159.58617_21.92327,-159.58617830999998,21.92327385,Kauai,-159.58616398180126,21.923270450261473
98,-159.58758_21.92496,-159.58758088000002,21.92496703,Kauai,-159.58756655868504,21.92496362924458
99,-159.58958_21.92102,-159.58958012999997,21.921026729999998,Kauai,-159.58956580541422,21.92102332959997
100,-159.59720_21.90418,-159.59720861,21.90418143,Kauai,-159.59719428243858,21.90417802471465
101,-159.48529_21.92467,-159.48529281999998,21.924677430000003,Kauai,-159.48527849006973,21.92467403272792
102,-159.46462_21.92893,-159.46462456999998,21.928936439999998,Kauai,-159.4646102413117,21.928933041730748
103,-159.52488_21.90488,-159.52488203,21.90488165,Kauai,-159.5248677071337,21.904878248706925
104,-159.36804_22.05262,-159.36804247,22.052620620000003,Kauai,-159.36802813997417,22.05261722825553
105,-159.36719_22.05222,-159.36719498,22.0522296,Kauai,-159.36718065178366,22.052226209221697
106,-159.37190_22.05489,-159.37190803000001,22.054894570000002,Kauai,-159.3718936972227,22.05489118395165
107,-159.50775_21.93643,-159.5077543,21.93643731,Kauai,-159.50773997563968,21.93643390559501
108,-159.50844_21.93401,-159.50844895,21.93401725,Kauai,-159.50843461971292,21.934013844743085
109,-159.50880_21.92786,-159.50880922000002,21.92786182,Kauai,-159.50879489543578,21.927858422045034
110,-159.50859_21.92861,-159.50859585999999,21.92861191,Kauai,-159.50858153618933,21.9286085107927
111,-159.45177_21.87975,-159.45177693,21.87975937,Kauai,-159.45176260265683,21.87975596895547
112,-159.45177_21.87992,-159.45177313,21.879925789999998,Kauai,-159.45175879783977,21.879922383054073
113,-159.45177_21.88185,-159.45177661,21.88185333,Kauai,-159.45176228295674,21.88184992624907
114,-159.38512_22.05583,-159.38512851,22.055838190000003,Kauai,-159.38511417315524,22.0558348032905
115,-159.51845_21.92063,-159.51845671,21.92063721,Kauai,-159.51844238599173,21.920633806876676
116,-159.51925_21.92001,-159.51925261000002,21.92001335,Kauai,-159.51923828039605,21.92000994912712
117,-159.52047_21.91920,-159.52047711,21.91920157,Kauai,-159.52046278744587,21.91919816916051
118,-159.52030_21.91874,-159.52030249999999,21.91874977,Kauai,-159.52028817162392,21.91874636714779
119,-159.51776_21.91929,-159.51776601999998,21.91929583,Kauai,-159.5177516944838,21.919292428105972
120,-159.51954_21.91858,-159.51954161,21.918582830000002,Kauai,-159.51952728040033,21.91857942615257
121,-159.51164_21.93200,-159.5116424,21.932006859999998,Kauai,-159.51162807645886,21.932003459066053
122,-159.51151_21.92590,-159.51151859,21.92590094,Kauai,-159.51150425837884,21.925897542669464
123,-159.51273_21.93431,-159.51273333,21.934314190000002,Kauai,-159.51271900065953,21.934310788156605
124,-159.51511_21.90538,-159.5151156,21.90538713,Kauai,-159.51510126854382,21.90538372412126
125,-159.51499_21.91045,-159.51499281000002,21.910453309999998,Kauai,-159.5149784831986,21.910449906437893
126,-159.50299_21.89127,-159.50299610000002,21.89127089,Kauai,-159.5029817720872,21.89126749001015
127,-159.49600_21.91675,-159.49600344,21.91675569,Kauai,-159.49598911222077,21.916752287509702
128,-159.36710_21.94991,-159.36710535999998,21.949918789999998,Kauai,-159.36709103086022,21.949915389796715
129,-159.36468_21.94992,-159.36468969,21.94992049,Kauai,-159.36467535888383,21.949917087571837
130,-159.36119_22.06893,-159.36119750999998,22.068933859999998,Kauai,-159.36118317568327,22.06893047405643
131,-159.35793_22.07420,-159.35793684,22.074201050000003,Kauai,-159.3579225074133,22.074197664026062
132,-159.37643_22.06850,-159.37643248999998,22.06850236,Kauai,-159.37641816029884,22.068498974183882
133,-159.50424_22.20029,-159.50424923,22.20029597,Kauai,-159.5042349026969,22.200292590043173
134,-159.52480_21.92646,-159.52480948,21.92646669,Kauai,-159.52479515167113,21.926463290542667
135,-159.36098_22.09525,-159.36098575999998,22.09525678,Kauai,-159.3609714222601,22.095253392723112
136,-159.40721_22.20951,-159.4072177,22.209514419999998,Kauai,-159.40720337465316,22.209511035420327
137,-159.40493_22.20951,-159.40493641999998,22.20951186,Kauai,-159.4049220867614,22.209508481535035
138,-159.59202_21.90737,-159.59202176000002,21.907373919999998,Kauai,-159.5920074390998,21.907370519712053
139,-159.57640_21.91292,-159.57640841,21.9129203,Kauai,-159.57639408707124,21.912916897249374
140,-159.57636_21.91240,-159.57636594000002,21.91240399,Kauai,-159.57635161681307,21.912400589426124
141,-159.48383_21.92892,-159.48383028,21.9289214,Kauai,-159.4838159551077,21.928918001092097
142,-159.48387_21.93322,-159.48387824,21.93322904,Kauai,-159.48386391003868,21.933225638185725
143,-159.48746_21.92794,-159.48746332000002,21.927943380000002,Kauai,-159.4874489884385,21.927939984028786
144,-159.46495_21.90098,-159.46495008,21.90098867,Kauai,-159.4649357529617,21.90098526963984
145,-159.46569_21.89698,-159.46569893999998,21.8969895,Kauai,-159.4656846113545,21.896986097970686
146,-159.36893_22.05846,-159.36893677999998,22.05846451,Kauai,-159.36892244983747,22.05846111921681
147,-159.37505_22.06224,-159.37505717,22.06224281,Kauai,-159.37504283982028,22.062239418745587
148,-159.37857_22.10330,-159.37857935,22.10330514,Kauai,-159.3785650155133,22.103301749148724
149,-159.37211_22.10006,-159.37211280999998,22.10006766,Kauai,-159.37209847647011,22.100064277190537
150,-159.35870_22.09503,-159.35870932,22.09503746,Kauai,-159.35869498991494,22.09503406913548
151,-159.53453_21.92483,-159.53453354,21.9248313,Kauai,-159.53451921356665,21.924827903411003
152,-159.53184_21.92483,-159.53184844,21.924839000000002,Kauai,-159.53183410962967,21.92483559883551
153,-159.53294_21.92468,-159.53294118000002,21.924685630000003,Kauai,-159.53292685364124,21.924682230848198
154,-159.53312_21.92452,-159.5331268,21.924528870000003,Kauai,-159.53311247322728,21.924525465679217
155,-159.53359_21.92372,-159.53359855,21.92372074,Kauai,-159.5335842209341,21.92371733753417
156,-159.50135_21.91961,-159.50135393,21.91961951,Kauai,-159.50133960256358,21.919616108707917
157,-159.37047_21.97158,-159.37047916,21.97158185,Kauai,-159.37046482241828,21.971578451619635
158,-159.33046_22.09841,-159.33046801,22.098410880000003,Kauai,-159.33045367782958,22.098407496718334
159,-159.32899_22.09849,-159.32899744,22.09849672,Kauai,-159.32898310651086,22.09849333478822
160,-159.33000_22.09719,-159.33000223000002,22.09719101,Kauai,-159.329987899638,22.097187620477573
161,-159.32940_22.09696,-159.32940356999998,22.09696941,Kauai,-159.32938923661922,22.09696602109341
162,-159.49760_22.20521,-159.49760697,22.205215900000002,Kauai,-159.4975926461286,22.2052125201457
163,-159.36957_21.96902,-159.36957701,21.96902232,Kauai,-159.36956267789563,21.96901891969661
164,-159.37298_21.96909,-159.37298373,21.969093490000002,Kauai,-159.372969392928,21.969090092819805
165,-159.37423_21.96848,-159.37423119,21.96848888,Kauai,-159.37421686100666,21.968485478789948
166,-159.37394_22.07696,-159.3739446,22.07696475,Kauai,-159.37393026563885,22.07696135907439
167,-159.53528_21.92314,-159.53528607,21.92314327,Kauai,-159.53527174082765,21.923139869988844
168,-159.53577_21.92187,-159.53577715,21.92187328,Kauai,-159.53576282615626,21.92186987392878
169,-159.51631_21.92111,-159.51631919,21.92111208,Kauai,-159.5163048654908,21.921108682634536
170,-159.52282_21.92123,-159.52282931,21.921236219999997,Kauai,-159.52281498170672,21.921232820603255
171,-159.52370_21.92231,-159.52370079,21.92231169,Kauai,-159.5236864617524,21.922308288689262
172,-159.52535_21.92233,-159.52535354999998,21.92233708,Kauai,-159.52533922344503,21.922333676837642
173,-159.51468_21.90881,-159.51468391,21.90881311,Kauai,-159.51466958116896,21.90880970421272
174,-159.52080_21.91824,-159.52080971,21.918242069999998,Kauai,-159.5207953780621,21.91823866836709
175,-159.52042_21.91991,-159.52042301,21.91991812,Kauai,-159.52040868458604,21.919914713816375
176,-159.51742_21.94186,-159.51742048,21.94186259,Kauai,-159.5174061525024,21.94185919304262
177,-159.52450_21.93290,-159.52450832,21.93290392,Kauai,-159.52449399535175,21.932900515641457
178,-159.52142_21.93109,-159.52142734,21.931090010000002,Kauai,-159.52141301529264,21.93108660526746
179,-159.51795_21.93557,-159.51795962,21.93557535,Kauai,-159.51794529747454,21.935571953961826
180,-159.51922_21.93679,-159.51922385,21.936795890000003,Kauai,-159.51920951807517,21.936792486922485
181,-159.51953_21.93076,-159.51953533,21.93076873,Kauai,-159.5195210053485,21.930765333375685
182,-159.52418_21.93075,-159.52418483,21.930751020000002,Kauai,-159.52417050358181,21.930747620236595
183,-159.52635_21.93485,-159.52635870999998,21.934854259999998,Kauai,-159.52634438861983,21.934850863364478
184,-159.52963_21.92778,-159.52963204,21.927786320000003,Kauai,-159.52961770928485,21.927782922778558
185,-159.52883_21.92869,-159.52883473999998,21.928690749999998,Kauai,-159.52882041601637,21.928687343610427
186,-159.52926_21.92623,-159.52926963000002,21.926238490000003,Kauai,-159.52925530160863,21.926235088485
187,-159.52319_21.92624,-159.5231905,21.926246420000002,Kauai,-159.52317617693922,21.92624301994788
188,-159.52307_21.92603,-159.52307446,21.92603139,Kauai,-159.52306012970962,21.926027987007565
189,-159.50036_21.92168,-159.50036384,21.92168123,Kauai,-159.50034951512924,21.921677832150642
190,-159.49476_21.92207,-159.49476945,21.92207263,Kauai,-159.49475512225476,21.92206922688292
191,-159.49520_21.92704,-159.49520714000002,21.927045279999998,Kauai,-159.49519281484766,21.92704187579687
192,-159.49985_21.92335,-159.49985791,21.92335033,Kauai,-159.49984357986636,21.923346932544817
193,-159.50734_21.92960,-159.50734455,21.92960223,Kauai,-159.5073302262228,21.929598831277705
194,-159.50673_21.92727,-159.50673132,21.92727299,Kauai,-159.5067169882951,21.927269584955596
195,-159.50772_21.92676,-159.50772873,21.92676529,Kauai,-159.50771440211813,21.92676189251643
196,-159.50636_21.92970,-159.50636941000002,21.92970099,Kauai,-159.50635508546878,21.929697592664137
197,-159.49910_21.92012,-159.49910137999998,21.92012849,Kauai,-159.4990870551015,21.92012508405366
198,-159.47076_21.87967,-159.47076135999998,21.87967196,Kauai,-159.47074703430422,21.87966855938651
199,-159.49802_21.91770,-159.49802778,21.91770726,Kauai,-159.49801344932362,21.917703854248796
200,-159.50074_21.91520,-159.50074518,21.915202989999997,Kauai,-159.5007308498668,21.915199585513978
201,-159.46883_21.90542,-159.46883594,21.90542062,Kauai,-159.46882161428977,21.905417215848463
202,-159.47923_21.90767,-159.47923036999998,21.907674049999997,Kauai,-159.47921604528904,21.907670650695543
203,-159.48030_21.91804,-159.48030714,21.918047599999998,Kauai,-159.48029280683707,21.918044194683272
204,-159.48569_21.92118,-159.48569418,21.92118037,Kauai,-159.48567985264773,21.921176964024927
205,-159.48485_21.92063,-159.48485578,21.92063149,Kauai,-159.4848414480271,21.920628093177847
206,-159.39778_21.96219,-159.39778023,21.96219237,Kauai,-159.39776589294644,21.96218897009623
207,-159.33523_22.05256,-159.33523465,22.05256793,Kauai,-159.3352203182717,22.052564539965022
208,-159.33678_22.05396,-159.3367833,22.053962549999998,Kauai,-159.33676897029588,22.05395916221958
209,-159.33479_22.05301,-159.33479329,22.05301987,Kauai,-159.33477895586512,22.053016479188553
210,-159.33038_22.09477,-159.33038223,22.09477712,Kauai,-159.3303678954471,22.09477373451558
211,-159.33033_22.09495,-159.3303345,22.09495595,Kauai,-159.3303201628706,22.09495256214377
212,-159.32516_22.09537,-159.32516654,22.095376390000002,Kauai,-159.32515220663257,22.095373005733652
213,-159.48302_21.93034,-159.48302272,21.930340819999998,Kauai,-159.48300838849002,21.930337419220667
214,-159.46351_21.90626,-159.46351761,21.90626356,Kauai,-159.46350327761527,21.906260157612973
215,-159.46051_21.90991,-159.46051516,21.909913,Kauai,-159.46050083457254,21.90990960022645
216,-159.46010_21.90947,-159.46010397,21.90947862,Kauai,-159.46008963835845,21.90947521387387
217,-159.46311_21.89798,-159.4631174,21.89798829,Kauai,-159.46310306542935,21.897984890587
218,-159.46700_21.90195,-159.46700603000002,21.90195534,Kauai,-159.4669917039953,21.9019519409803
219,-159.45078_21.88083,-159.45078434,21.88083895,Kauai,-159.45077000585857,21.880835542317108
220,-159.46052_21.90751,-159.46052281,21.907514459999998,Kauai,-159.4605084771523,21.907511061733825
221,-159.45967_21.90550,-159.4596712,21.90550352,Kauai,-159.45965686911111,21.9055001179918
222,-159.45789_21.90466,-159.45789775999998,21.904660439999997,Kauai,-159.4578834266716,21.9046570392968
223,-159.45797_21.90250,-159.45797653,21.90250118,Kauai,-159.45796219882112,21.902497773830948
224,-159.37173_21.96630,-159.37173229,21.96630807,Kauai,-159.37171795277385,21.966304675174236
225,-159.37083_21.96743,-159.37083148,21.96743667,Kauai,-159.3708171511983,21.967433270138557
226,-159.36997_21.96570,-159.36997139,21.965704369999997,Kauai,-159.36995705334633,21.965700976354704
227,-159.33765_22.04776,-159.33765148,22.04776949,Kauai,-159.33763714117478,22.04776609608927
228,-159.33595_22.05378,-159.3359567,22.05378429,Kauai,-159.3359423688951,22.05378089466633
229,-159.33662_22.05546,-159.33662235,22.055464949999998,Kauai,-159.33660801993915,22.055461557170993
230,-159.33779_22.05717,-159.33779093,22.057173329999998,Kauai,-159.3377765927884,22.057169935798246
231,-159.33871_22.05588,-159.33871105,22.055887010000003,Kauai,-159.3386967204452,22.055883618492572
232,-159.33703_22.05725,-159.33703923,22.05725576,Kauai,-159.3370248917969,22.057252366686466
233,-159.33925_22.05708,-159.33925507,22.0570827,Kauai,-159.3392407325151,22.05707930657656
234,-159.34019_22.05863,-159.34019316,22.058630769999997,Kauai,-159.34017882537248,22.058627380594228
235,-159.34410_22.05816,-159.34410983,22.0581647,Kauai,-159.34409549185128,22.058161310275665
236,-159.34401_22.05846,-159.34401331,22.05846359,Kauai,-159.3439989789792,22.058460202602305
237,-159.34498_22.05860,-159.34498851,22.05860182,Kauai,-159.34497417145715,22.058598429583803
238,-159.34451_22.05947,-159.34451523,22.059476580000002,Kauai,-159.34450089197085,22.059473192427948
239,-159.34200_22.05649,-159.34200328,22.0564984,Kauai,-159.34198894847833,22.056495013313597
240,-159.34218_22.05805,-159.34218341,22.05805404,Kauai,-159.34216907591457,22.058050649410013
241,-159.34179_22.05778,-159.34179349000001,22.057782200000002,Kauai,-159.34177915961695,22.057778809913874
242,-159.34211_22.05439,-159.34211445,22.054397220000002,Kauai,-159.3421001193336,22.05439382811178
243,-159.34261_22.05332,-159.3426164,22.05332721,Kauai,-159.34260207025352,22.05332382364426
244,-159.34472_22.05401,-159.34472681,22.054017769999998,Kauai,-159.34471247123875,22.0540143780411
245,-159.34554_22.05395,-159.34554491,22.0539542,Kauai,-159.3455305780421,22.05395080553523
246,-159.34631_22.05431,-159.34631769,22.05431864,Kauai,-159.34630335515303,22.054315246813385
247,-159.34559_22.05489,-159.34559195999998,22.05489476,Kauai,-159.34557762821646,22.054891370410477
248,-159.37237_22.05323,-159.37237514,22.053237590000002,Kauai,-159.37236080418919,22.053234194213093
249,-159.37658_22.05647,-159.37658401,22.05647986,Kauai,-159.37656967520564,22.056476470843272
250,-159.37595_22.05653,-159.37595823,22.05653204,Kauai,-159.37594390073554,22.056528650884065
251,-159.36311_22.04779,-159.36311325,22.04779652,Kauai,-159.3630989182534,22.0477931263549
252,-159.36611_22.04912,-159.36611302,22.04912084,Kauai,-159.3660986857713,22.04911744727442
253,-159.38219_22.05554,-159.38219418,22.05554781,Kauai,-159.38217985100968,22.0555444234607
254,-159.38786_22.05697,-159.38786690999999,22.05697218,Kauai,-159.38785257364705,22.056968791041097
255,-159.37812_22.06226,-159.37812538999998,22.06226338,Kauai,-159.3781110571603,22.062259990551105
256,-159.36393_22.08856,-159.3639372,22.08856083,Kauai,-159.36392287105963,22.08855743784872
257,-159.36191_22.06867,-159.36191864999998,22.0686782,Kauai,-159.36190431681223,22.06867481157366
258,-159.37382_22.06840,-159.37382366,22.068406630000002,Kauai,-159.37380932850587,22.068403242460192
259,-159.36248_22.07141,-159.36248084000002,22.07141263,Kauai,-159.3624665065975,22.071409236244644
260,-159.36313_22.07064,-159.36313159,22.07064036,Kauai,-159.36311725734726,22.070636968050216
261,-159.36211_22.06667,-159.36211284,22.06667959,Kauai,-159.36209850437479,22.066676197667512
262,-159.37278_22.09805,-159.37278724,22.09805432,Kauai,-159.37277290324366,22.098050929786968
263,-159.37169_22.09644,-159.37169769,22.09644699,Kauai,-159.37168335554995,22.09644360692857
264,-159.31743_22.06838,-159.31743348999998,22.06838404,Kauai,-159.31741915042815,22.068380649877156
265,-159.31870_22.06885,-159.31870089,22.06885058,Kauai,-159.3186865598771,22.068847188362366
266,-159.31914_22.06883,-159.31914297999998,22.06883633,Kauai,-159.31912864836926,22.068832937644068
