cluster_label,island,log_cesspool_density,log_dist_cesspool,log_dist_stream_mouth,log_discharge_cfs,pct_impervious,pct_agriculture,mean_slope_deg,log_ksat,log_dist_outfall,mean_gwetroot,log_cattle_km2
Freshwater plume,Maui,2.427550259679237,6.494056365946869,6.394146401182879,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,3.3135966378437307,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,7.306799819287379,5.1095717893436845,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.3906025789245975,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,6.951963533646458,4.931895913377064,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,4.896022139623307,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,7.199155430802329,4.611593012955327,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,4.451919608222069,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,6.775137754367298,5.874687743880599,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,5.612636958905569,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,7.260171166000486,3.8988250297746103,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,3.929728827470158,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,6.738981534733451,5.9587166494708805,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,5.50568013955847,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.8034089325212008,7.220812657765146,8.38161227460354,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,4.920149165545374,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,6.997778781629726,6.353653474679988,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,5.725906820790552,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.8034089325212008,7.174111564719166,8.443344539322501,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,4.987060066840144,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,5.458734087953942,6.576817994256526,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.316765437493032,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.5847291059107151,4.778282803696737,5.75309115190137,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,5.015065696231719,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.0759579267258734,6.004133950208645,4.885745278977646,2.4050941787658666,0.03128986805677414,0.5737554617226124,3.6888697147369385,2.470920407813258,4.904664391739007,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,6.72154617546099,5.2674378494437395,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.966930233769775,0.7621052631578947,4.0447999596148
Marine background,Maui,1.0759579267258734,5.804833718725929,5.298249869776877,2.4050941787658666,0.03128986805677414,0.5737554617226124,3.6888697147369385,2.470920407813258,5.703493582968038,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.0759579267258734,6.262636067432774,3.7236584813508604,2.4050941787658666,0.03128986805677414,0.5737554617226124,3.6888697147369385,2.470920407813258,4.111422461707053,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.14643867476456884,8.131354224443252,5.62177161938279,2.4050941787658666,0.00942244566977024,0.014937569882022217,19.59808349609375,3.1780538303479458,6.609199169107928,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.5847291059107151,6.385363018844681,5.05648144072206,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.693990843952932,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.5847291059107151,5.997198078955742,5.8264230680248135,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.20363150842921,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,7.48560383517862,6.443631318325086,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,7.169317643814299,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.9270580918013038,6.228905403123016,6.803710135159181,2.5792388344043484,0.056509919464588165,0.678783655166626,3.7008700370788574,2.0498410698570333,5.880088393184192,0.7621052631578947,4.0447999596148
Storm runoff,Maui,2.427550259679237,6.528834726096085,5.933554489067357,2.4050941787658666,0.04713576287031174,0.0075784188229590654,8.908180236816406,5.028256895446077,6.0787813673666395,0.7621052631578947,4.0447999596148
Marine background,Maui,0.14643867476456884,8.176222853488586,4.845488632895025,2.4050941787658666,0.00942244566977024,0.014937569882022217,19.59808349609375,3.1780538303479458,6.801079637996286,0.7621052631578947,4.0447999596148
Storm runoff,Maui,0.9270580918013038,5.803326104992462,6.9872333376255655,2.5792388344043484,0.056509919464588165,0.678783655166626,3.7008700370788574,2.0498410698570333,5.408115724792011,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,3.410046227465237,4.646312129319266,3.8288560537518554,3.5520985479029457,0.6135108470916748,0,2.629654884338379,2.302585092994046,5.1988638138893375,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.5495852092829008,7.269059491304532,5.359373398131486,2.4050941787658666,0.01048337109386921,0.004998667165637016,24.607067108154297,0.19885085776803976,6.834577622630072,0.7621052631578947,4.0447999596148
Freshwater plume,Maui,1.5847291059107151,4.00369019395397,5.895511404667424,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,5.337213565005348,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.5847291059107151,3.8543938925915096,6.183173014455736,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,5.787189069077552,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.5231184827379162,6.704046640306535,5.736335102955209,3.5520985479029457,0.16329514980316162,0.0015597434248775244,17.596988677978516,1.9563318444615498,4.9240655919538625,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.4232248255899658,3.4904285153900982,5.020626270660988,4.365438191188899,0.07496608048677444,0.08519217371940613,8.948811531066895,1.578978703720431,5.036452791273324,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,7.284272065134409,6.7070216130829,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,7.15461292842729,0.7621052631578947,4.0447999596148
Marine background,Maui,0.14643867476456884,8.000315960221812,6.457655698467023,2.4050941787658666,0.00942244566977024,0.014937569882022217,19.59808349609375,3.1780538303479458,5.777606602978764,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.5495852092829008,6.283014131086252,6.337931781760849,2.4050941787658666,0.01048337109386921,0.004998667165637016,24.607067108154297,0.19885085776803976,6.3422399357173935,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.8034089325212008,5.711419901785413,8.289455822084873,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,5.762022326268283,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.4232248255899658,4.360547602996758,6.889235705288291,3.5520985479029457,0.07496608048677444,0.08519217371940613,8.948811531066895,1.578978703720431,4.208788623812496,0.7621052631578947,4.0447999596148
Storm runoff,Maui,0.6164002849575758,4.7140245909001735,5.382846559248111,4.365438191188899,0.034136801958084106,0,8.5499267578125,2.1430030203728814,5.5873179764438525,0.7621052631578947,4.0447999596148
Marine background,Maui,0.7000070940056472,4.523960130562548,6.779219604933151,4.365438191188899,0.046647630631923676,0.0025663371197879314,13.055168151855469,2.9826470339852036,6.814277154642962,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,7.4767554667992,4.730920676107596,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.7202934254901505,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.8034089325212008,5.466370951544286,7.402937748995774,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,7.334326726923893,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,5.158480421360237,7.24701141977917,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.756074165383648,0.7621052631578947,4.0447999596148
Storm runoff,Maui,0.6164002849575758,4.739701078945697,5.145614716677359,4.365438191188899,0.034136801958084106,0,8.5499267578125,2.1430030203728814,5.003974489511929,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.311553304478671,7.593953222307848,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.676897928509791,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.698514632836919,7.7267776264212715,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,4.783827225074998,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.8034089325212008,5.409411414053624,6.821588056612077,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,6.954876927768142,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.792456654618674,6.499116461278617,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,3.6090664255379004,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,2.75661844991255,4.858260813670253,6.771777393137955,4.365438191188899,0.12796686589717865,0.001779337297193706,6.269824028015137,1.578978703720431,5.6439559850342,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.1904321411308347,7.063561730120337,4.3781244863414095,3.5520985479029457,0.03426937386393547,0.11035169661045074,17.90790557861328,3.367295829986474,3.8357703830341094,0.7621052631578947,4.0447999596148
Nearshore enriched,Moloka'i,0.7014719156192951,7.885028215791086,6.85620726121797,0.7368450358256646,0.0169132068209971,0.053863283867637314,5.325418929258983,2.851707927038399,7.875390477487088,0.38315789473684214,4.0447999596148
Freshwater plume,Moloka'i,0.02856667086735805,7.9834741688369375,4.250503226457343,4.9930843234658875,7.527220295742154e-4,5.821009544888511e-4,18.195436477661133,2.9826470339852036,9.844328461893262,0.38315789473684214,4.0447999596148
